wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,Cały kraj,-,-,4604,-,-,1.2,264,39,225,17689,6251,177875,42669,5600,36438,631,t0000
dolnośląskie,bolesławiecki,-,-,23,-,-,2.55,0,0,0,41,16,400,170,28,137,5,t0201
dolnośląskie,dzierżoniowski,-,-,6,-,-,0.6,2,0,2,18,7,186,99,10,89,0,t0202
dolnośląskie,głogowski,-,-,4,-,-,0.45,1,0,1,33,14,274,93,8,84,1,t0203
dolnośląskie,górowski,-,-,0,-,-,0.0,0,0,0,7,4,87,81,6,75,0,t0204
dolnośląskie,jaworski,-,-,5,-,-,1.0,0,0,0,25,13,167,54,8,46,0,t0205
dolnośląskie,jeleniogórski,-,-,8,-,-,1.26,2,0,2,23,18,219,82,9,70,3,t0206
dolnośląskie,kamiennogórski,-,-,2,-,-,0.46,0,0,0,5,0,97,101,2,93,6,t0207
dolnośląskie,kłodzki,-,-,12,-,-,0.76,2,0,2,65,14,567,290,14,273,3,t0208
dolnośląskie,legnicki,-,-,5,-,-,0.91,1,1,0,19,5,151,45,5,39,1,t0209
dolnośląskie,lubański,-,-,4,-,-,0.74,0,0,0,21,16,231,68,6,61,1,t0210
dolnośląskie,lubiński,-,-,1,-,-,0.09,0,0,0,38,7,213,117,1,116,0,t0211
dolnośląskie,lwówecki,-,-,4,-,-,0.87,0,0,0,18,1,107,80,4,76,0,t0212
dolnośląskie,milicki,-,-,4,-,-,1.08,0,0,0,16,1,117,36,6,30,0,t0213
dolnośląskie,oleśnicki,-,-,15,-,-,1.4,0,0,0,29,11,364,126,21,102,3,t0214
dolnośląskie,oławski,-,-,4,-,-,0.52,0,0,0,38,3,479,71,5,64,2,t0215
dolnośląskie,polkowicki,-,-,14,-,-,2.22,0,0,0,15,8,160,73,15,55,3,t0216
dolnośląskie,strzeliński,-,-,5,-,-,1.15,0,0,0,15,3,81,38,7,31,0,t0217
dolnośląskie,średzki,-,-,3,-,-,0.54,0,0,0,24,4,241,44,3,41,0,t0218
dolnośląskie,świdnicki,-,-,21,-,-,1.34,6,0,6,56,26,671,198,29,161,8,t0219
dolnośląskie,trzebnicki,-,-,15,-,-,1.76,1,0,1,31,4,387,85,21,61,3,t0220
dolnośląskie,wałbrzyski,-,-,1,-,-,0.18,0,0,0,16,8,131,62,3,58,1,t0221
dolnośląskie,wołowski,-,-,4,-,-,0.86,0,0,0,13,5,181,38,4,32,2,t0222
dolnośląskie,wrocławski,-,-,15,-,-,0.97,1,1,0,76,28,1165,174,20,150,4,t0223
dolnośląskie,ząbkowicki,-,-,5,-,-,0.78,4,2,2,20,5,268,59,5,53,1,t0224
dolnośląskie,zgorzelecki,-,-,21,-,-,2.37,0,0,0,35,13,318,153,23,128,2,t0225
dolnośląskie,złotoryjski,-,-,2,-,-,0.46,0,0,0,14,8,135,29,3,26,0,t0226
dolnośląskie,Jelenia Góra,-,-,15,-,-,1.9,0,0,0,29,6,280,131,19,111,1,t0261
dolnośląskie,Legnica,-,-,2,-,-,0.2,4,4,0,45,10,531,98,10,86,2,t0262
dolnośląskie,Wrocław,-,-,87,-,-,1.35,5,5,0,267,86,3694,1089,109,952,28,t0264
dolnośląskie,Wałbrzych,-,-,5,-,-,0.45,0,0,0,37,20,337,182,7,175,0,t0265
kujawsko-pomorskie,aleksandrowski,-,-,0,-,-,0.0,0,0,0,17,6,180,53,3,49,1,t0401
kujawsko-pomorskie,brodnicki,-,-,8,-,-,1.01,1,0,1,38,11,337,48,10,37,1,t0402
kujawsko-pomorskie,bydgoski,-,-,34,-,-,2.85,3,0,3,114,47,962,164,43,119,2,t0403
kujawsko-pomorskie,chełmiński,-,-,14,-,-,2.7,0,0,0,76,23,569,125,37,85,3,t0404
kujawsko-pomorskie,golubsko-dobrzyński,-,-,10,-,-,2.22,0,0,0,51,12,254,48,11,36,1,t0405
kujawsko-pomorskie,grudziądzki,-,-,8,-,-,1.99,0,0,0,26,5,283,61,13,47,1,t0406
kujawsko-pomorskie,inowrocławski,-,-,24,-,-,1.51,0,0,0,104,36,740,129,39,87,3,t0407
kujawsko-pomorskie,lipnowski,-,-,15,-,-,2.29,0,0,0,25,10,197,54,16,37,1,t0408
kujawsko-pomorskie,mogileński,-,-,6,-,-,1.32,0,0,0,25,11,217,52,8,43,1,t0409
kujawsko-pomorskie,nakielski,-,-,30,-,-,3.48,0,0,0,97,40,632,120,30,88,2,t0410
kujawsko-pomorskie,radziejowski,-,-,9,-,-,2.24,0,0,0,19,5,141,38,10,28,0,t0411
kujawsko-pomorskie,rypiński,-,-,2,-,-,0.46,0,0,0,18,7,133,37,2,35,0,t0412
kujawsko-pomorskie,sępoleński,-,-,10,-,-,2.44,0,0,0,19,12,292,63,10,52,1,t0413
kujawsko-pomorskie,świecki,-,-,14,-,-,1.42,3,0,3,80,31,610,124,17,105,2,t0414
kujawsko-pomorskie,toruński,-,-,17,-,-,1.56,1,0,1,80,29,684,150,22,126,2,t0415
kujawsko-pomorskie,tucholski,-,-,9,-,-,1.86,1,0,1,35,16,273,100,10,85,5,t0416
kujawsko-pomorskie,wąbrzeski,-,-,18,-,-,5.28,0,0,0,29,14,190,52,21,31,0,t0417
kujawsko-pomorskie,włocławski,-,-,7,-,-,0.81,0,0,0,51,9,342,58,7,50,1,t0418
kujawsko-pomorskie,żniński,-,-,21,-,-,3.0,0,0,0,58,20,410,92,25,67,0,t0419
kujawsko-pomorskie,Bydgoszcz,-,-,100,-,-,2.88,7,0,7,344,145,2675,518,132,376,10,t0461
kujawsko-pomorskie,Grudziądz,-,-,22,-,-,2.34,0,0,0,95,23,541,232,29,202,1,t0462
kujawsko-pomorskie,Toruń,-,-,51,-,-,2.54,4,0,4,173,54,1086,383,64,317,2,t0463
kujawsko-pomorskie,Włocławek,-,-,23,-,-,2.1,0,0,0,61,10,415,85,23,62,0,t0464
lubelskie,bialski,-,-,14,-,-,1.27,0,0,0,45,19,358,101,16,84,1,t0601
lubelskie,biłgorajski,-,-,10,-,-,0.99,0,0,0,44,15,282,72,11,60,1,t0602
lubelskie,chełmski,-,-,3,-,-,0.39,4,1,3,25,34,242,37,3,33,1,t0603
lubelskie,hrubieszowski,-,-,1,-,-,0.16,0,0,0,18,4,204,46,1,45,0,t0604
lubelskie,janowski,-,-,3,-,-,0.66,0,0,0,16,6,70,28,4,23,1,t0605
lubelskie,krasnostawski,-,-,14,-,-,2.22,0,0,0,25,9,288,108,15,92,1,t0606
lubelskie,kraśnicki,-,-,9,-,-,0.95,2,0,2,35,17,204,88,9,77,2,t0607
lubelskie,lubartowski,-,-,8,-,-,0.91,0,0,0,24,15,249,56,12,43,1,t0608
lubelskie,lubelski,-,-,24,-,-,1.54,0,0,0,72,26,675,139,30,109,0,t0609
lubelskie,łęczyński,-,-,9,-,-,1.57,1,0,1,23,17,284,65,9,55,1,t0610
lubelskie,łukowski,-,-,6,-,-,0.56,0,0,0,17,8,254,75,13,61,1,t0611
lubelskie,opolski,-,-,7,-,-,1.19,0,0,0,19,7,242,52,7,43,2,t0612
lubelskie,parczewski,-,-,1,-,-,0.29,0,0,0,9,3,65,35,2,33,0,t0613
lubelskie,puławski,-,-,8,-,-,0.71,0,0,0,48,33,494,103,16,87,0,t0614
lubelskie,radzyński,-,-,3,-,-,0.51,0,0,0,10,7,125,45,5,40,0,t0615
lubelskie,rycki,-,-,6,-,-,1.07,1,1,0,26,10,229,57,6,51,0,t0616
