wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,Cały kraj,-,-,5048.0,-,-,1.32,68.0,8.0,60.0,297.0,10804.0,165716,20632.0,5720.0,14202.0,710.0,t0000
dolnośląskie,bolesławiecki,-,-,17.0,-,-,1.89,,,,,43.0,343,33.0,17.0,16.0,0.0,t0201
dolnośląskie,dzierżoniowski,-,-,3.0,-,-,0.3,,,,,7.0,187,20.0,5.0,14.0,1.0,t0202
dolnośląskie,głogowski,-,-,9.0,-,-,1.01,,,,,20.0,247,36.0,10.0,25.0,1.0,t0203
dolnośląskie,górowski,-,-,1.0,-,-,0.29,,,,,12.0,98,7.0,2.0,5.0,0.0,t0204
dolnośląskie,jaworski,-,-,5.0,-,-,1.0,,,,,19.0,118,20.0,6.0,14.0,0.0,t0205
dolnośląskie,jeleniogórski,-,-,1.0,-,-,0.16,,,,,15.0,178,9.0,5.0,4.0,0.0,t0206
dolnośląskie,kamiennogórski,-,-,1.0,-,-,0.23,,,,,4.0,133,14.0,1.0,13.0,0.0,t0207
dolnośląskie,kłodzki,-,-,9.0,-,-,0.57,,,,,14.0,351,51.0,9.0,41.0,1.0,t0208
dolnośląskie,legnicki,-,-,1.0,-,-,0.18,,,,,2.0,140,18.0,1.0,16.0,1.0,t0209
dolnośląskie,lubański,-,-,,-,-,,,,,,14.0,283,1.0,0.0,1.0,0.0,t0210
dolnośląskie,lubiński,-,-,4.0,-,-,0.38,,,,1.0,20.0,323,36.0,5.0,30.0,1.0,t0211
dolnośląskie,lwówecki,-,-,,-,-,,,,,1.0,6.0,152,5.0,0.0,5.0,0.0,t0212
dolnośląskie,milicki,-,-,3.0,-,-,0.81,,,,,5.0,127,10.0,3.0,7.0,0.0,t0213
dolnośląskie,oleśnicki,-,-,20.0,-,-,1.86,,,,,21.0,379,48.0,22.0,26.0,0.0,t0214
dolnośląskie,oławski,-,-,12.0,-,-,1.56,,,,,5.0,374,38.0,13.0,25.0,0.0,t0215
dolnośląskie,polkowicki,-,-,2.0,-,-,0.32,,,,,12.0,151,19.0,2.0,17.0,0.0,t0216
dolnośląskie,strzeliński,-,-,9.0,-,-,2.07,,,,,,137,24.0,10.0,13.0,1.0,t0217
dolnośląskie,średzki,-,-,5.0,-,-,0.9,,,,,12.0,215,15.0,5.0,10.0,0.0,t0218
dolnośląskie,świdnicki,-,-,7.0,-,-,0.45,,,,,38.0,783,34.0,8.0,26.0,0.0,t0219
dolnośląskie,trzebnicki,-,-,5.0,-,-,0.59,,,,,19.0,340,32.0,7.0,25.0,0.0,t0220
dolnośląskie,wałbrzyski,-,-,8.0,-,-,1.44,,,,,16.0,271,31.0,10.0,21.0,0.0,t0221
dolnośląskie,wołowski,-,-,4.0,-,-,0.86,,,,,11.0,227,18.0,4.0,14.0,0.0,t0222
dolnośląskie,wrocławski,-,-,15.0,-,-,0.97,,,,,34.0,810,83.0,17.0,66.0,0.0,t0223
dolnośląskie,ząbkowicki,-,-,8.0,-,-,1.24,,,,,22.0,191,25.0,9.0,15.0,1.0,t0224
dolnośląskie,zgorzelecki,-,-,5.0,-,-,0.56,,,,,22.0,420,15.0,5.0,10.0,0.0,t0225
dolnośląskie,złotoryjski,-,-,2.0,-,-,0.46,,,,,3.0,332,6.0,2.0,4.0,0.0,t0226
