wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,teryt,liczba_ozdrowiencow
podkarpackie,lubaczowski,-,-,15,-,-,"2,73",0,0,0,t1809,-
podkarpackie,łańcucki,-,-,18,-,-,"2,22",1,0,1,t1810,-
podkarpackie,mielecki,-,-,15,-,-,"1,10",0,0,0,t1811,-
podkarpackie,niżański,-,-,17,-,-,"2,56",0,0,0,t1812,-
podkarpackie,przemyski,-,-,27,-,-,"3,65",1,0,1,t1813,-
podkarpackie,przeworski,-,-,15,-,-,"1,92",0,0,0,t1814,-
podkarpackie,ropczycko-sędziszowski,-,-,4,-,-,"0,54",0,0,0,t1815,-
podkarpackie,rzeszowski,-,-,41,-,-,"2,41",2,0,2,t1816,-
podkarpackie,sanocki,-,-,7,-,-,"0,74",0,0,0,t1817,-
podkarpackie,stalowowolski,-,-,20,-,-,"1,89",0,0,0,t1818,-
podkarpackie,strzyżowski,-,-,7,-,-,"1,14",0,0,0,t1819,-
podkarpackie,tarnobrzeski,-,-,12,-,-,"2,27",0,0,0,t1820,-
podkarpackie,leski,-,-,9,-,-,"3,41",0,0,0,t1821,-
podkarpackie,Krosno,-,-,22,-,-,"4,77",0,0,0,t1861,-
podkarpackie,Przemyśl,-,-,21,-,-,"3,47",2,0,2,t1862,-
podkarpackie,Rzeszów,-,-,29,-,-,"1,47",0,0,0,t1863,-
podkarpackie,Tarnobrzeg,-,-,18,-,-,"3,86",0,0,0,t1864,-
podlaskie,augustowski,-,-,7,-,-,"1,21",0,0,0,t2001,-
podlaskie,białostocki,-,-,38,-,-,"2,53",0,0,0,t2002,-
podlaskie,bielski,-,-,9,-,-,"1,66",0,0,0,t2003,-
podlaskie,grajewski,-,-,0,-,-,0,2,0,2,t2004,-
podlaskie,hajnowski,-,-,18,-,-,"4,26",0,0,0,t2005,-
podlaskie,kolneński,-,-,7,-,-,"1,84",1,0,1,t2006,-
podlaskie,łomżyński,-,-,24,-,-,"4,72",1,0,1,t2007,-
podlaskie,moniecki,-,-,2,-,-,"0,50",0,0,0,t2008,-
podlaskie,sejneński,-,-,0,-,-,0,0,0,0,t2009,-
podlaskie,siemiatycki,-,-,5,-,-,"1,14",0,0,0,t2010,-
podlaskie,sokólski,-,-,11,-,-,"1,66",0,0,0,t2011,-
podlaskie,suwalski,-,-,5,-,-,"1,40",0,0,0,t2012,-
podlaskie,wysokomazowiecki,-,-,2,-,-,"0,35",0,0,0,t2013,-
podlaskie,zambrowski,-,-,9,-,-,"2,07",0,0,0,t2014,-
podlaskie,Białystok,-,-,96,-,-,"3,23",2,0,2,t2061,-
podlaskie,Łomża,-,-,27,-,-,"4,30",0,0,0,t2062,-
podlaskie,Suwałki,-,-,12,-,-,"1,72",0,0,0,t2063,-
pomorskie,bytowski,-,-,36,-,-,"4,55",1,1,0,t2201,-
pomorskie,chojnicki,-,-,23,-,-,"2,35",0,0,0,t2202,-
pomorskie,człuchowski,-,-,24,-,-,"4,29",0,0,0,t2203,-
pomorskie,gdański,-,-,50,-,-,"4,19",0,0,0,t2204,-
pomorskie,kartuski,-,-,48,-,-,"3,41",3,0,3,t2205,-
pomorskie,kościerski,-,-,5,-,-,"0,69",2,2,0,t2206,-
pomorskie,kwidzyński,-,-,32,-,-,"3,85",0,0,0,t2207,-
pomorskie,lęborski,-,-,19,-,-,"2,88",0,0,0,t2208,-
pomorskie,malborski,-,-,18,-,-,"2,84",0,0,0,t2209,-
pomorskie,nowodworski,-,-,17,-,-,"4,79",0,0,0,t2210,-
pomorskie,pucki,-,-,18,-,-,"2,06",0,0,0,t2211,-
pomorskie,słupski,-,-,31,-,-,"3,14",0,0,0,t2212,-
pomorskie,starogardzki,-,-,40,-,-,"3,12",0,0,0,t2213,-
pomorskie,tczewski,-,-,43,-,-,"3,72",0,0,0,t2214,-
pomorskie,wejherowski,-,-,148,-,-,"6,77",0,0,0,t2215,-
pomorskie,sztumski,-,-,31,-,-,"7,54",0,0,0,t2216,-
pomorskie,Gdańsk,-,-,243,-,-,"5,15",0,0,0,t2261,-
pomorskie,Gdynia,-,-,149,-,-,"6,06",4,0,4,t2262,-
pomorskie,Słupsk,-,-,17,-,-,"1,88",0,0,0,t2263,-
pomorskie,Sopot,-,-,10,-,-,"2,81",0,0,0,t2264,-
śląskie,będziński,-,-,19,-,-,"1,29",0,0,0,t2401,-
śląskie,bielski,-,-,57,-,-,"3,43",0,0,0,t2402,-
śląskie,cieszyński,-,-,8,-,-,"0,45",0,0,0,t2403,-
śląskie,częstochowski,-,-,36,-,-,"2,68",0,0,0,t2404,-
śląskie,gliwicki,-,-,20,-,-,"1,73",0,0,0,t2405,-
śląskie,kłobucki,-,-,1,-,-,"0,12",0,0,0,t2406,-
śląskie,lubliniecki,-,-,28,-,-,"3,67",0,0,0,t2407,-
śląskie,mikołowski,-,-,13,-,-,"1,31",0,0,0,t2408,-
śląskie,myszkowski,-,-,8,-,-,"1,13",0,0,0,t2409,-
śląskie,pszczyński,-,-,3,-,-,"0,27",0,0,0,t2410,-
śląskie,raciborski,-,-,20,-,-,"1,85",0,0,0,t2411,-
śląskie,rybnicki,-,-,19,-,-,"2,43",0,0,0,t2412,-
śląskie,tarnogórski,-,-,42,-,-,"2,98",0,0,0,t2413,-
śląskie,bieruńsko-lędziński,-,-,8,-,-,"1,34",0,0,0,t2414,-
śląskie,wodzisławski,-,-,21,-,-,"1,34",0,0,0,t2415,-
śląskie,zawierciański,-,-,10,-,-,"0,85",0,0,0,t2416,-
śląskie,żywiecki,-,-,28,-,-,"1,84",0,0,0,t2417,-
śląskie,Bielsko-Biała,-,-,29,-,-,"1,70",0,0,0,t2461,-
śląskie,Bytom,-,-,21,-,-,"1,28",0,0,0,t2462,-
śląskie,Chorzów,-,-,24,-,-,"2,23",2,0,2,t2463,-
śląskie,Częstochowa,-,-,45,-,-,"2,05",0,0,0,t2464,-
śląskie,Dąbrowa Górnicza,-,-,37,-,-,"3,11",0,0,0,t2465,-
śląskie,Gliwice,-,-,47,-,-,"2,64",3,1,2,t2466,-
śląskie,Jastrzębie-Zdrój,-,-,15,-,-,"1,70",0,0,0,t2467,-
śląskie,Jaworzno,-,-,31,-,-,"3,42",0,0,0,t2468,-
śląskie,Katowice,-,-,71,-,-,"2,43",4,1,3,t2469,-
śląskie,Mysłowice,-,-,6,-,-,"0,80",0,0,0,t2470,-
śląskie,Piekary Śląskie,-,-,5,-,-,"0,91",0,0,0,t2471,-
śląskie,Ruda Śląska,-,-,28,-,-,"2,04",0,0,0,t2472,-
śląskie,Rybnik,-,-,15,-,-,"1,09",0,0,0,t2473,-
śląskie,Siemianowice Śląskie,-,-,12,-,-,"1,80",0,0,0,t2474,-
śląskie,Sosnowiec,-,-,43,-,-,"2,16",0,0,0,t2475,-
śląskie,Świętochłowice,-,-,18,-,-,"3,65",0,0,0,t2476,-
śląskie,Tychy,-,-,23,-,-,"1,81",0,0,0,t2477,-
śląskie,Zabrze,-,-,40,-,-,"2,33",6,0,6,t2478,-
śląskie,Żory,-,-,4,-,-,"0,64",0,0,0,t2479,-
świętokrzyskie,buski,-,-,1,-,-,"0,14",0,0,0,t2601,-
świętokrzyskie,jędrzejowski,-,-,9,-,-,"1,06",0,0,0,t2602,-
świętokrzyskie,kazimierski,-,-,0,-,-,0,0,0,0,t2603,-
świętokrzyskie,kielecki,-,-,17,-,-,"0,80",0,0,0,t2604,-
świętokrzyskie,konecki,-,-,6,-,-,"0,75",0,0,0,t2605,-
świętokrzyskie,opatowski,-,-,3,-,-,"0,58",0,0,0,t2606,-
świętokrzyskie,ostrowiecki,-,-,30,-,-,"2,77",1,0,1,t2607,-
świętokrzyskie,pińczowski,-,-,3,-,-,"0,78",0,0,0,t2608,-
świętokrzyskie,sandomierski,-,-,65,-,-,"8,47",2,0,2,t2609,-
świętokrzyskie,skarżyski,-,-,5,-,-,"0,68",0,0,0,t2610,-
świętokrzyskie,starachowicki,-,-,4,-,-,"0,45",0,0,0,t2611,-
świętokrzyskie,staszowski,-,-,10,-,-,"1,40",0,0,0,t2612,-
świętokrzyskie,włoszczowski,-,-,2,-,-,"0,45",0,0,0,t2613,-
świętokrzyskie,Kielce,-,-,26,-,-,"1,34",0,0,0,t2661,-
warmińsko-mazurskie,bartoszycki,-,-,14,-,-,"2,46",0,0,0,t2801,-
warmińsko-mazurskie,braniewski,-,-,31,-,-,"7,57",0,0,0,t2802,-
warmińsko-mazurskie,działdowski,-,-,32,-,-,"4,93",0,0,0,t2803,-
warmińsko-mazurskie,elbląski,-,-,30,-,-,"5,26",1,0,1,t2804,-
warmińsko-mazurskie,ełcki,-,-,9,-,-,"0,98",0,0,0,t2805,-
warmińsko-mazurskie,giżycki,-,-,19,-,-,"3,36",0,0,0,t2806,-
warmińsko-mazurskie,iławski,-,-,34,-,-,"3,66",0,0,0,t2807,-
warmińsko-mazurskie,kętrzyński,-,-,18,-,-,"2,90",0,0,0,t2808,-
warmińsko-mazurskie,lidzbarski,-,-,17,-,-,"4,14",0,0,0,t2809,-
warmińsko-mazurskie,mrągowski,-,-,14,-,-,"2,82",0,0,0,t2810,-
warmińsko-mazurskie,nidzicki,-,-,25,-,-,"7,63",1,1,0,t2811,-
warmińsko-mazurskie,nowomiejski,-,-,13,-,-,"2,97",0,0,0,t2812,-
warmińsko-mazurskie,olecki,-,-,15,-,-,"4,41",0,0,0,t2813,-
warmińsko-mazurskie,olsztyński,-,-,51,-,-,"4,01",2,0,2,t2814,-
warmińsko-mazurskie,ostródzki,-,-,66,-,-,"6,35",0,0,0,t2815,-
warmińsko-mazurskie,piski,-,-,16,-,-,"2,86",0,0,0,t2816,-
warmińsko-mazurskie,szczycieński,-,-,48,-,-,"6,93",0,0,0,t2817,-
warmińsko-mazurskie,gołdapski,-,-,9,-,-,"3,38",0,0,0,t2818,-
warmińsko-mazurskie,węgorzewski,-,-,29,-,-,"12,86",0,0,0,t2819,-
warmińsko-mazurskie,Elbląg,-,-,134,-,-,"11,25",0,0,0,t2861,-
warmińsko-mazurskie,Olsztyn,-,-,85,-,-,"4,95",6,1,5,t2862,-
wielkopolskie,chodzieski,-,-,35,-,-,"7,45",0,0,0,t3001,-
wielkopolskie,czarnkowsko-trzcianecki,-,-,61,-,-,"7,02",0,0,0,t3002,-
wielkopolskie,gnieźnieński,-,-,58,-,-,"3,99",1,0,1,t3003,-
wielkopolskie,gostyński,-,-,27,-,-,"3,56",0,0,0,t3004,-
wielkopolskie,grodziski,-,-,30,-,-,"5,78",0,0,0,t3005,-
wielkopolskie,jarociński,-,-,20,-,-,"2,80",1,0,1,t3006,-
wielkopolskie,kaliski,-,-,16,-,-,"1,93",0,0,0,t3007,-
