wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,Cały kraj,-,-,3678.0,-,-,0.96,56.0,5.0,51.0,319.0,10061.0,153848,17341,4292,12691,358,t0000
dolnośląskie,bolesławiecki,-,-,6.0,-,-,0.67,,,,,28.0,317,18,8,10,0,t0201
dolnośląskie,dzierżoniowski,-,-,,-,-,,,,,,8.0,171,9,0,9,0,t0202
dolnośląskie,głogowski,-,-,3.0,-,-,0.34,,,,,7.0,224,15,3,12,0,t0203
dolnośląskie,górowski,-,-,,-,-,,,,,,7.0,85,6,0,6,0,t0204
dolnośląskie,jaworski,-,-,1.0,-,-,0.2,,,,,16.0,115,9,1,7,1,t0205
dolnośląskie,jeleniogórski,-,-,18.0,-,-,2.84,,,,,14.0,136,43,19,21,3,t0206
dolnośląskie,kamiennogórski,-,-,7.0,-,-,1.63,,,,,8.0,112,26,7,18,1,t0207
dolnośląskie,kłodzki,-,-,1.0,-,-,0.06,,,,,17.0,309,43,2,41,0,t0208
dolnośląskie,legnicki,-,-,2.0,-,-,0.36,,,,,4.0,129,4,2,2,0,t0209
dolnośląskie,lubański,-,-,3.0,-,-,0.55,,,,,9.0,272,7,4,3,0,t0210
dolnośląskie,lubiński,-,-,3.0,-,-,0.28,,,,,46.0,288,23,3,20,0,t0211
dolnośląskie,lwówecki,-,-,2.0,-,-,0.44,,,,1.0,9.0,141,7,2,5,0,t0212
dolnośląskie,milicki,-,-,,-,-,,,,,,3.0,119,7,0,7,0,t0213
dolnośląskie,oleśnicki,-,-,7.0,-,-,0.65,,,,,24.0,353,34,7,26,1,t0214
dolnośląskie,oławski,-,-,3.0,-,-,0.39,,,,,22.0,328,17,4,13,0,t0215
dolnośląskie,polkowicki,-,-,2.0,-,-,0.32,,,,,9.0,128,11,2,9,0,t0216
dolnośląskie,strzeliński,-,-,4.0,-,-,0.92,,,,,14.0,128,8,5,3,0,t0217
dolnośląskie,średzki,-,-,10.0,-,-,1.81,,,,1.0,8.0,180,17,11,5,1,t0218
dolnośląskie,świdnicki,-,-,12.0,-,-,0.77,,,,1.0,34.0,725,30,15,15,0,t0219
dolnośląskie,trzebnicki,-,-,2.0,-,-,0.23,,,,,17.0,276,12,2,10,0,t0220
dolnośląskie,wałbrzyski,-,-,5.0,-,-,0.9,,,,,26.0,241,14,5,8,1,t0221
dolnośląskie,wołowski,-,-,4.0,-,-,0.86,,,,,7.0,205,10,4,6,0,t0222
dolnośląskie,wrocławski,-,-,5.0,-,-,0.32,,,,,35.0,799,31,5,25,1,t0223
dolnośląskie,ząbkowicki,-,-,3.0,-,-,0.47,,,,2.0,9.0,185,15,3,12,0,t0224
dolnośląskie,zgorzelecki,-,-,,-,-,,,,,,22.0,372,6,0,6,0,t0225
dolnośląskie,złotoryjski,-,-,,-,-,,,,,,6.0,307,3,0,3,0,t0226
dolnośląskie,Jelenia Góra,-,-,4.0,-,-,0.51,,,,,31.0,242,26,7,19,0,t0261
dolnośląskie,Legnica,-,-,5.0,-,-,0.5,,,,,17.0,420,20,5,15,0,t0262
dolnośląskie,Wrocław,-,-,35.0,-,-,0.54,,,,4.0,136.0,2229,185,38,141,6,t0264
dolnośląskie,Wałbrzych,-,-,6.0,-,-,0.54,,,,,28.0,314,36,6,30,0,t0265
kujawsko-pomorskie,aleksandrowski,-,-,14.0,-,-,2.55,,,,3.0,9.0,200,30,15,14,1,t0401
kujawsko-pomorskie,brodnicki,-,-,8.0,-,-,1.01,,,,1.0,18.0,443,22,8,14,0,t0402
kujawsko-pomorskie,bydgoski,-,-,23.0,-,-,1.93,,,,5.0,66.0,1184,67,24,43,0,t0403
kujawsko-pomorskie,chełmiński,-,-,1.0,-,-,0.19,,,,1.0,23.0,390,80,25,54,1,t0404
kujawsko-pomorskie,golubsko-dobrzyński,-,-,3.0,-,-,0.67,,,,,11.0,173,13,4,9,0,t0405
kujawsko-pomorskie,grudziądzki,-,-,6.0,-,-,1.49,,,,,32.0,379,15,6,8,1,t0406
kujawsko-pomorskie,inowrocławski,-,-,16.0,-,-,1.0,1.0,,1.0,1.0,54.0,948,91,42,48,1,t0407
kujawsko-pomorskie,lipnowski,-,-,11.0,-,-,1.68,,,,7.0,12.0,288,34,11,22,1,t0408
kujawsko-pomorskie,mogileński,-,-,1.0,-,-,0.22,,,,2.0,10.0,205,11,1,10,0,t0409
kujawsko-pomorskie,nakielski,-,-,7.0,-,-,0.81,,,,3.0,70.0,687,34,7,26,1,t0410
kujawsko-pomorskie,radziejowski,-,-,5.0,-,-,1.24,,,,,19.0,201,17,9,8,0,t0411
kujawsko-pomorskie,rypiński,-,-,,-,-,,,,,,4.0,152,13,0,12,1,t0412
kujawsko-pomorskie,sępoleński,-,-,3.0,-,-,0.73,1.0,,1.0,,22.0,333,17,4,12,1,t0413
kujawsko-pomorskie,świecki,-,-,20.0,-,-,2.02,,,,5.0,40.0,782,70,22,45,3,t0414
kujawsko-pomorskie,toruński,-,-,19.0,-,-,1.74,,,,1.0,78.0,953,85,25,57,3,t0415
kujawsko-pomorskie,tucholski,-,-,9.0,-,-,1.86,1.0,,1.0,5.0,31.0,407,48,9,37,2,t0416
kujawsko-pomorskie,wąbrzeski,-,-,2.0,-,-,0.59,,,,,13.0,186,14,4,10,0,t0417
kujawsko-pomorskie,włocławski,-,-,5.0,-,-,0.58,,,,,24.0,415,19,6,12,1,t0418
kujawsko-pomorskie,żniński,-,-,14.0,-,-,2.0,1.0,,1.0,1.0,29.0,468,42,15,27,0,t0419
kujawsko-pomorskie,Bydgoszcz,-,-,94.0,-,-,2.71,,,,46.0,224.0,2605,305,105,183,17,t0461
kujawsko-pomorskie,Grudziądz,-,-,20.0,-,-,2.13,,,,1.0,60.0,703,54,22,31,1,t0462
kujawsko-pomorskie,Toruń,-,-,39.0,-,-,1.94,,,,5.0,103.0,1287,105,43,61,1,t0463
kujawsko-pomorskie,Włocławek,-,-,6.0,-,-,0.55,2.0,,2.0,,34.0,566,24,6,18,0,t0464
lubelskie,bialski,-,-,4.0,-,-,0.36,,,,4.0,17.0,325,15,6,9,0,t0601
lubelskie,biłgorajski,-,-,,-,-,,,,,1.0,9.0,123,18,1,16,1,t0602
lubelskie,chełmski,-,-,5.0,-,-,0.64,,,,,16.0,318,18,6,12,0,t0603
lubelskie,hrubieszowski,-,-,1.0,-,-,0.16,,,,,19.0,250,20,2,18,0,t0604
lubelskie,janowski,-,-,1.0,-,-,0.22,,,,,4.0,67,6,1,5,0,t0605
lubelskie,krasnostawski,-,-,1.0,-,-,0.16,,,,,21.0,453,16,1,15,0,t0606
lubelskie,kraśnicki,-,-,4.0,-,-,0.42,4.0,1.0,3.0,,15.0,228,32,8,24,0,t0607
lubelskie,lubartowski,-,-,5.0,-,-,0.57,,,,,10.0,310,31,6,24,1,t0608
lubelskie,lubelski,-,-,8.0,-,-,0.51,1.0,,1.0,,43.0,605,51,12,36,3,t0609
lubelskie,łęczyński,-,-,3.0,-,-,0.52,,,,1.0,12.0,307,16,5,11,0,t0610
lubelskie,łukowski,-,-,1.0,-,-,0.09,,,,,3.0,150,24,1,23,0,t0611
lubelskie,opolski,-,-,5.0,-,-,0.85,,,,,12.0,247,15,5,10,0,t0612
lubelskie,parczewski,-,-,,-,-,,,,,,6.0,96,5,0,5,0,t0613
lubelskie,puławski,-,-,12.0,-,-,1.06,,,,,29.0,446,59,15,40,4,t0614
lubelskie,radzyński,-,-,2.0,-,-,0.34,,,,,7.0,156,8,2,6,0,t0615
lubelskie,rycki,-,-,6.0,-,-,1.07,,,,,9.0,169,24,7,15,2,t0616
lubelskie,świdnicki,-,-,5.0,-,-,0.7,,,,,41.0,524,23,6,17,0,t0617
lubelskie,tomaszowski,-,-,1.0,-,-,0.12,,,,,14.0,164,24,4,20,0,t0618
lubelskie,włodawski,-,-,,-,-,,,,,1.0,6.0,152,7,1,5,1,t0619
lubelskie,zamojski,-,-,1.0,-,-,0.09,,,,,17.0,227,33,5,28,0,t0620
lubelskie,Biała Podlaska,-,-,2.0,-,-,0.35,,,,,9.0,165,12,2,9,1,t0661
lubelskie,Chełm,-,-,8.0,-,-,1.3,,,,1.0,20.0,365,25,8,16,1,t0662
