wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
kujawsko-pomorskie,świecki,16,3,19,1.62,0.3,1.92,0,0,0,0,19,220,88,20,63,5,t0414,2022-03-12
kujawsko-pomorskie,toruński,22,3,25,2.02,0.28,2.29,0,0,0,3,41,283,127,26,100,1,t0415,2022-03-12
kujawsko-pomorskie,tucholski,6,0,6,1.24,0.0,1.24,0,0,0,0,9,83,39,6,31,2,t0416,2022-03-12
kujawsko-pomorskie,wąbrzeski,5,0,5,1.47,0.0,1.47,0,0,0,1,5,79,32,6,26,0,t0417,2022-03-12
kujawsko-pomorskie,włocławski,26,0,26,3.03,0.0,3.03,0,0,0,3,5,180,104,31,70,3,t0418,2022-03-12
kujawsko-pomorskie,żniński,23,1,24,3.28,0.14,3.43,0,0,0,0,15,165,103,25,74,4,t0419,2022-03-12
kujawsko-pomorskie,Bydgoszcz,87,14,101,2.51,0.4,2.91,0,0,0,11,178,755,539,111,416,12,t0461,2022-03-12
kujawsko-pomorskie,Grudziądz,24,2,26,2.55,0.21,2.76,0,0,0,2,39,215,156,27,122,7,t0462,2022-03-12
kujawsko-pomorskie,Toruń,80,12,92,3.98,0.6,4.57,0,0,0,25,74,521,311,96,212,3,t0463,2022-03-12
kujawsko-pomorskie,Włocławek,31,3,34,2.84,0.27,3.11,0,0,0,0,14,171,141,35,106,0,t0464,2022-03-12
lubelskie,bialski,18,1,19,1.63,0.09,1.72,0,0,0,0,8,113,132,19,112,1,t0601,2022-03-12
lubelskie,biłgorajski,13,5,18,1.29,0.5,1.79,0,0,0,2,6,107,195,19,176,0,t0602,2022-03-12
lubelskie,chełmski,17,1,18,2.19,0.13,2.32,0,0,0,0,7,107,72,20,52,0,t0603,2022-03-12
lubelskie,hrubieszowski,7,1,8,1.12,0.16,1.28,0,0,0,0,2,45,53,9,44,0,t0604,2022-03-12
lubelskie,janowski,0,0,0,0.0,0.0,0.0,0,0,0,0,3,25,20,0,20,0,t0605,2022-03-12
lubelskie,krasnostawski,12,3,15,1.91,0.48,2.38,0,0,0,1,4,70,67,16,50,1,t0606,2022-03-12
lubelskie,kraśnicki,22,0,22,2.31,0.0,2.31,0,0,0,2,5,106,119,22,95,2,t0607,2022-03-12
lubelskie,lubartowski,7,1,8,0.79,0.11,0.91,0,0,0,2,6,118,87,9,76,2,t0608,2022-03-12
lubelskie,lubelski,45,2,47,2.88,0.13,3.01,0,0,0,6,25,338,200,49,148,3,t0609,2022-03-12
lubelskie,łęczyński,16,3,19,2.79,0.52,3.32,0,0,0,0,5,157,103,22,81,0,t0610,2022-03-12
lubelskie,łukowski,6,3,9,0.56,0.28,0.84,0,0,0,0,5,90,67,10,57,0,t0611,2022-03-12
lubelskie,opolski,14,3,17,2.37,0.51,2.88,0,0,0,0,5,89,67,18,47,2,t0612,2022-03-12
lubelskie,parczewski,3,1,4,0.87,0.29,1.16,0,0,0,0,5,59,23,4,18,1,t0613,2022-03-12
lubelskie,puławski,16,5,21,1.42,0.44,1.86,0,0,0,4,23,196,162,22,140,0,t0614,2022-03-12
lubelskie,radzyński,3,0,3,0.51,0.0,0.51,0,0,0,0,7,50,56,4,52,0,t0615,2022-03-12
lubelskie,rycki,11,1,12,1.97,0.18,2.15,0,0,0,2,3,52,85,14,71,0,t0616,2022-03-12
lubelskie,świdnicki,20,0,20,2.79,0.0,2.79,0,0,0,16,17,149,88,21,66,1,t0617,2022-03-12
lubelskie,tomaszowski,3,0,3,0.36,0.0,0.36,0,0,0,1,3,64,54,3,51,0,t0618,2022-03-12
lubelskie,włodawski,4,1,5,1.05,0.26,1.31,0,0,0,0,4,37,31,5,26,0,t0619,2022-03-12
lubelskie,zamojski,9,1,10,0.85,0.09,0.94,0,0,0,0,8,76,92,12,80,0,t0620,2022-03-12
lubelskie,Biała Podlaska,16,3,19,2.8,0.52,3.32,0,0,0,0,8,87,88,20,68,0,t0661,2022-03-12
lubelskie,Chełm,20,2,22,3.25,0.32,3.57,0,0,0,2,10,117,83,23,59,1,t0662,2022-03-12
lubelskie,Lublin,140,17,157,4.12,0.5,4.62,0,0,0,25,90,751,678,163,510,5,t0663,2022-03-12
lubelskie,Zamość,8,0,8,1.27,0.0,1.27,0,0,0,0,3,62,78,8,70,0,t0664,2022-03-12
