Date,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000
2023-12-25,lubelskie,Chełmski,0603,0,0.8257142857,17.33374623,2023-12-23,7.7502
2023-12-25,lubelskie,Hrubieszowski,0604,0,0.96,26.53001984,2023-12-23,6.2009
2023-12-25,lubelskie,Janowski,0605,0,0.66,18.92251119,2023-12-23,4.5142
2023-12-25,lubelskie,Krasnostawski,0606,0,0.3185714286,27.58824658,2023-12-23,6.2552
2023-12-25,lubelskie,Kraśnicki,0607,0,0.7671428571,25.80105997,2023-12-23,9.4531
2023-12-25,lubelskie,Lubartowski,0608,0,0.5814285714,21.3056346,2023-12-23,8.785
2023-12-25,lubelskie,Lubelski,0609,0,0.8142857143,19.57467746,2023-12-23,15.6493
2023-12-25,lubelskie,Łęczyński,0610,0,0.9971428571,22.07871649,2023-12-23,5.7218
2023-12-25,lubelskie,Łukowski,0611,0,0.4014285714,18.65967443,2023-12-23,10.6213
2023-12-25,lubelskie,Opolski,0612,0,0.68,28.3088611,2023-12-23,5.8706
2023-12-25,lubelskie,Parczewski,0613,0,1.157142857,26.81252182,2023-12-23,3.4372
2023-12-25,lubelskie,Puławski,0614,0.08898063781,2.657142857,35.29772921,2023-12-23,11.2384
2023-12-25,lubelskie,Radzyński,0615,0,0.4857142857,19.12587053,2023-12-23,5.8298
2023-12-25,lubelskie,Rycki,0616,0.1800828381,1.944285714,34.5939132,2023-12-23,5.553
2023-12-25,lubelskie,Świdnicki,0617,0,0.6785714286,32.67863143,2023-12-23,7.1432
2023-12-25,lubelskie,Tomaszowski,0618,0.1220345602,0.9871428571,23.94074002,2023-12-23,8.1944
2023-12-25,lubelskie,Włodawski,0619,0,1.607142857,32.75158599,2023-12-23,3.7989
2023-12-25,lubelskie,Zamojski,0620,0.09491808569,0.7828571429,16.92958976,2023-12-23,10.5354
2023-12-25,lubelskie,Biała Podlaska,0661,0.1756172948,1.074285714,43.44069404,2023-12-23,5.6942
2023-12-25,lubelskie,Chełm,0662,0.1635724217,0.5571428571,44.08276765,2023-12-23,6.1135
2023-12-25,lubelskie,Lublin,0663,0.02953459387,0.7571428571,52.79810742,2023-12-23,33.8586
2023-12-25,lubelskie,Zamość,0664,0,0.8585714286,52.58421598,2023-12-23,6.2785
2023-12-25,lubuskie,Gorzowski,0801,0.1383298059,1.031428571,18.92213415,2023-12-23,7.2291
2023-12-25,lubuskie,Krośnieński,0802,0,0.34,35.78336203,2023-12-23,5.4598
2023-12-25,lubuskie,Międzyrzecki,0803,0.1751313485,0.4228571429,42.558669,2023-12-23,5.71
2023-12-25,lubuskie,Nowosolski,0804,0.1166412,1.378571429,45.42474893,2023-12-23,8.5733
2023-12-25,lubuskie,Słubicki,0805,0,0.5171428571,35.7511077,2023-12-23,4.6944
2023-12-25,lubuskie,Strzelecko-Drezdenecki,0806,0,1.491428571,37.26990395,2023-12-23,4.8621
2023-12-25,lubuskie,Sulęciński,0807,0.5714285714,0.04,39.55714286,2023-12-23,3.5
2023-12-25,lubuskie,Świebodziński,0808,0.1801152738,0.1028571429,36.55079251,2023-12-23,5.552
2023-12-25,lubuskie,Zielonogórski,0809,0.264295059,0.7357142857,36.90880499,2023-12-23,7.5673
2023-12-25,lubuskie,Żagański,0810,0.2559246558,0.5285714286,41.94093259,2023-12-23,7.8148
2023-12-25,lubuskie,Żarski,0811,0,0.7471428571,41.50676462,2023-12-23,9.5423
2023-12-25,lubuskie,Wschowski,0812,0.2589801362,0.2214285714,28.58363763,2023-12-23,3.8613
2023-12-25,lubuskie,Gorzów Wielkopolski,0861,0.0815733875,0.8914285714,57.82411146,2023-12-23,12.2589
2023-12-25,lubuskie,Zielona Góra,0862,0.212929052,0.5771428571,54.01371263,2023-12-23,14.0892
2023-12-25,łódzkie,Bełchatowski,1001,0.1778678975,0.2142857143,28.34147079,2023-12-23,11.2443
2023-12-25,łódzkie,Kutnowski,1002,0.1046945014,0.7714285714,39.57242766,2023-12-23,9.5516
2023-12-25,łódzkie,Łaski,1003,0,0.1142857143,26.81156506,2023-12-23,4.9736
2023-12-25,łódzkie,Łęczycki,1004,0,0.1728571429,37.05920545,2023-12-23,4.9286
2023-12-25,łódzkie,Łowicki,1005,0,0.4042857143,35.11995259,2023-12-23,7.7614
2023-12-25,łódzkie,Łódzki Wschodni,1006,0,0.08,32.94012265,2023-12-23,7.2565
2023-12-25,łódzkie,Opoczyński,1007,0.1324082411,0.2457142857,26.32011016,2023-12-23,7.5524
2023-12-25,łódzkie,Pabianicki,1008,0.3363011913,0.6828571429,47.81614414,2023-12-23,11.8941
2023-12-25,łódzkie,Pajęczański,1009,0,0.05714285714,20.88632438,2023-12-23,5.0952
2023-12-25,łódzkie,Piotrkowski,1010,0.1096395053,0.2514285714,19.56736251,2023-12-23,9.1208
2023-12-25,łódzkie,Poddębicki,1011,0,0.06857142857,32.52823547,2023-12-23,4.0906
2023-12-25,łódzkie,Radomszczański,1012,0.7162297665,0.6985714286,32.07724538,2023-12-23,11.1696
2023-12-25,łódzkie,Rawski,1013,0,0.3828571429,22.45323964,2023-12-23,4.8385
2023-12-25,łódzkie,Sieradzki,1014,0.2565900888,0.4271428571,31.52979011,2023-12-23,11.6918
2023-12-25,łódzkie,Skierniewicki,1015,0,0.5985714286,14.49977733,2023-12-23,3.8173
2023-12-25,łódzkie,Tomaszowski,1016,0,0.4314285714,32.04043721,2023-12-23,11.5735
2023-12-25,łódzkie,Wieluński,1017,0,0.5242857143,36.67476497,2023-12-23,7.5736
2023-12-25,łódzkie,Wieruszowski,1018,0,0.4757142857,31.17378049,2023-12-23,4.1984
2023-12-25,łódzkie,Zduńskowolski,1019,0,0.1285714286,33.82477597,2023-12-23,6.6064
2023-12-25,łódzkie,Zgierski,1020,0.1205908954,0.3685714286,38.55351221,2023-12-23,16.585
2023-12-25,łódzkie,Brzeziński,1021,0,0.1371428571,34.04137301,2023-12-23,3.0648
2023-12-25,łódzkie,Łódź,1061,0.1190148545,0.3928571429,59.46413562,2023-12-23,67.2185
2023-12-25,łódzkie,Piotrków Trybunalski,1062,0,0.8442857143,54.016609,2023-12-23,7.225
2023-12-25,łódzkie,Skierniewice,1063,0,1.43,58.10932746,2023-12-23,4.7655
2023-12-25,małopolskie,Bocheński,1201,0.09350425912,1.147142857,29.85029968,2023-12-23,10.6947
2023-12-25,małopolskie,Brzeski,1202,0.2149728597,0.4285714286,23.9200301,2023-12-23,9.3035
2023-12-25,małopolskie,Chrzanowski,1203,0,0.5414285714,39.80463191,2023-12-23,12.3664
2023-12-25,małopolskie,Dąbrowski,1204,0.3391152483,0.1214285714,20.95901792,2023-12-23,5.8977
2023-12-25,małopolskie,Gorlicki,1205,0.09217694286,0.8528571429,24.05357324,2023-12-23,10.8487
2023-12-25,małopolskie,Krakowski,1206,0.1065946561,0.2157142857,25.6409892,2023-12-23,28.144
2023-12-25,małopolskie,Limanowski,1207,0,0.04428571429,19.76042014,2023-12-23,13.2148
2023-12-25,małopolskie,Miechowski,1208,0.4126774513,0.5285714286,32.95848465,2023-12-23,4.8464
2023-12-25,małopolskie,Myślenicki,1209,0.3907104679,0.3485714286,25.35632795,2023-12-23,12.7972
2023-12-25,małopolskie,Nowosądecki,1210,0,0.3571428571,17.4131966,2023-12-23,21.7071
2023-12-25,małopolskie,Nowotarski,1211,0,0.1185714286,19.91327761,2023-12-23,19.1646
2023-12-25,małopolskie,Olkuski,1212,0,0.1414285714,38.79751247,2023-12-23,11.0471
2023-12-25,małopolskie,Oświęcimski,1213,0.1964803814,0.2814285714,37.85456522,2023-12-23,15.2687
2023-12-25,małopolskie,Proszowicki,1214,0,0.03285714286,31.488492,2023-12-23,4.3057
2023-12-25,małopolskie,Suski,1215,0,0.6285714286,30.0676926,2023-12-23,8.3761
2023-12-25,małopolskie,Tarnowski,1216,0.09938875913,0.3057142857,14.62654674,2023-12-23,20.123
2023-12-25,małopolskie,Tatrzański,1217,0,0.02142857143,19.58441711,2023-12-23,6.8049
2023-12-25,małopolskie,Wadowicki,1218,0.06263231076,1.367142857,31.12262154,2023-12-23,15.9662
2023-12-25,małopolskie,Wielicki,1219,0.1530795784,0.2842857143,39.18913747,2023-12-23,13.0651
2023-12-25,małopolskie,Kraków,1261,0.1410317886,0.4785714286,65.36259273,2023-12-23,77.9966
2023-12-25,małopolskie,Nowy Sącz,1262,0,0.36,36.98867852,2023-12-23,8.3558
2023-12-25,małopolskie,Tarnów,1263,0,0.3957142857,48.88463041,2023-12-23,10.7498
2023-12-25,mazowieckie,Białobrzeski,1401,0,1.242857143,28.52470821,2023-12-23,3.3329
2023-12-25,mazowieckie,Ciechanowski,1402,0,0.8971428571,32.1134873,2023-12-23,8.8891
2023-12-25,mazowieckie,Garwoliński,1403,0.09205221201,1.337142857,25.87035366,2023-12-23,10.8634
2023-12-25,mazowieckie,Gostyniński,1404,0.2243108051,1.148571429,24.95906328,2023-12-23,4.4581
2023-12-25,mazowieckie,Grodziski,1405,0.1026040919,0.2814285714,44.78258193,2023-12-23,9.7462
2023-12-25,mazowieckie,Grójecki,1406,0.1020626869,0.8142857143,34.84522194,2023-12-23,9.7979
2023-12-25,mazowieckie,Kozienicki,1407,0,1.075714286,29.88488388,2023-12-23,5.9592
2023-12-25,mazowieckie,Legionowski,1408,0.08341535844,0.9928571429,45.52560017,2023-12-23,11.9882
2023-12-25,mazowieckie,Lipski,1409,0,0.5514285714,24.34371094,2023-12-23,3.3598
2023-12-25,mazowieckie,Łosicki,1410,0,1.491428571,21.64550334,2023-12-23,3.0556
2023-12-25,mazowieckie,Makowski,1411,0,0.8,30.67869841,2023-12-23,4.4438
2023-12-25,mazowieckie,Miński,1412,0,0.9771428571,32.75680699,2023-12-23,15.4951
2023-12-25,mazowieckie,Mławski,1413,0,0.2557142857,29.90078734,2023-12-23,7.2269
2023-12-25,mazowieckie,Nowodworski,1414,0,0.7214285714,40.90077588,2023-12-23,7.9265
2023-12-25,mazowieckie,Ostrołęcki,1415,0,0.3528571429,16.82881906,2023-12-23,8.8497
