wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,220,-,-,0.06,0,0,0,1453,0,0,3558,223,3334,1,t00,2024-12-27
dolnośląskie,-,-,10,-,-,0.03,0,0,0,47,0,0,115,10,105,0,t02,2024-12-27
kujawsko-pomorskie,-,-,22,-,-,0.11,0,0,0,145,0,0,549,22,527,0,t04,2024-12-27
lubelskie,-,-,39,-,-,0.19,0,0,0,129,0,0,303,40,262,1,t06,2024-12-27
lubuskie,-,-,1,-,-,0.01,0,0,0,5,0,0,39,1,38,0,t08,2024-12-27
łódzkie,-,-,7,-,-,0.03,0,0,0,67,0,0,107,8,99,0,t10,2024-12-27
małopolskie,-,-,10,-,-,0.03,0,0,0,180,0,0,284,10,274,0,t12,2024-12-27
mazowieckie,-,-,25,-,-,0.05,0,0,0,158,0,0,720,26,694,0,t14,2024-12-27
opolskie,-,-,3,-,-,0.03,0,0,0,21,0,0,55,3,52,0,t16,2024-12-27
podkarpackie,-,-,16,-,-,0.08,0,0,0,168,0,0,263,16,247,0,t18,2024-12-27
podlaskie,-,-,23,-,-,0.2,0,0,0,161,0,0,195,23,172,0,t20,2024-12-27
pomorskie,-,-,5,-,-,0.02,0,0,0,36,0,0,141,5,136,0,t22,2024-12-27
śląskie,-,-,21,-,-,0.05,0,0,0,185,0,0,328,21,307,0,t24,2024-12-27
świętokrzyskie,-,-,8,-,-,0.07,0,0,0,32,0,0,72,8,64,0,t26,2024-12-27
warmińsko-mazurskie,-,-,5,-,-,0.04,0,0,0,21,0,0,44,5,39,0,t28,2024-12-27
wielkopolskie,-,-,5,-,-,0.01,0,0,0,32,0,0,80,5,75,0,t30,2024-12-27
zachodniopomorskie,-,-,17,-,-,0.1,0,0,0,62,0,0,117,17,100,0,t32,2024-12-27
