wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,1179,-,-,0.31,8,2,6,1194,0,0,5397,1242,4146,9,t00,2023-02-09
dolnośląskie,-,-,98,-,-,0.34,0,0,0,72,0,0,369,98,271,0,t02,2023-02-09
kujawsko-pomorskie,-,-,68,-,-,0.33,1,0,1,59,0,0,189,76,113,0,t04,2023-02-09
lubelskie,-,-,62,-,-,0.29,0,0,0,61,0,0,419,65,354,0,t06,2023-02-09
lubuskie,-,-,31,-,-,0.31,0,0,0,33,0,0,119,32,87,0,t08,2023-02-09
łódzkie,-,-,53,-,-,0.22,1,1,0,70,0,0,308,59,248,1,t10,2023-02-09
małopolskie,-,-,82,-,-,0.24,0,0,0,132,0,0,314,83,231,0,t12,2023-02-09
mazowieckie,-,-,224,-,-,0.41,2,1,1,154,0,0,1008,238,766,4,t14,2023-02-09
opolskie,-,-,23,-,-,0.23,0,0,0,27,0,0,194,26,168,0,t16,2023-02-09
podkarpackie,-,-,45,-,-,0.21,0,0,0,45,0,0,199,48,151,0,t18,2023-02-09
podlaskie,-,-,28,-,-,0.24,1,0,1,36,0,0,136,28,108,0,t20,2023-02-09
pomorskie,-,-,48,-,-,0.2,0,0,0,59,0,0,217,51,166,0,t22,2023-02-09
śląskie,-,-,237,-,-,0.53,0,0,0,224,0,0,684,248,435,1,t24,2023-02-09
świętokrzyskie,-,-,28,-,-,0.23,1,0,1,19,0,0,140,30,110,0,t26,2023-02-09
warmińsko-mazurskie,-,-,30,-,-,0.21,0,0,0,30,0,0,242,32,210,0,t28,2023-02-09
wielkopolskie,-,-,81,-,-,0.23,2,0,2,64,0,0,272,86,185,1,t30,2023-02-09
zachodniopomorskie,-,-,25,-,-,0.15,0,0,0,109,0,0,321,25,295,1,t32,2023-02-09
