wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,2317,-,-,0.6,6,1,5,2325,0,0,8275,2438,5822,15,t00,2023-02-13
dolnośląskie,-,-,123,-,-,0.42,1,1,0,103,0,0,431,126,305,0,t02,2023-02-13
kujawsko-pomorskie,-,-,181,-,-,0.87,0,0,0,164,0,0,536,184,350,2,t04,2023-02-13
lubelskie,-,-,186,-,-,0.88,0,0,0,189,0,0,790,193,597,0,t06,2023-02-13
lubuskie,-,-,59,-,-,0.58,0,0,0,82,0,0,211,60,151,0,t08,2023-02-13
łódzkie,-,-,163,-,-,0.67,0,0,0,172,0,0,501,167,331,3,t10,2023-02-13
małopolskie,-,-,168,-,-,0.49,0,0,0,225,0,0,577,176,401,0,t12,2023-02-13
mazowieckie,-,-,324,-,-,0.6,1,0,1,207,0,0,1194,346,847,1,t14,2023-02-13
opolskie,-,-,42,-,-,0.43,2,0,2,36,0,0,260,48,211,1,t16,2023-02-13
podkarpackie,-,-,96,-,-,0.45,0,0,0,72,0,0,341,103,238,0,t18,2023-02-13
podlaskie,-,-,45,-,-,0.38,0,0,0,63,0,0,207,48,159,0,t20,2023-02-13
pomorskie,-,-,93,-,-,0.4,1,0,1,127,0,0,407,98,308,1,t22,2023-02-13
śląskie,-,-,482,-,-,1.07,0,0,0,483,0,0,1157,512,642,3,t24,2023-02-13
świętokrzyskie,-,-,37,-,-,0.3,0,0,0,34,0,0,189,37,151,1,t26,2023-02-13
warmińsko-mazurskie,-,-,66,-,-,0.46,1,0,1,81,0,0,374,74,300,0,t28,2023-02-13
wielkopolskie,-,-,179,-,-,0.51,0,0,0,132,0,0,465,187,276,2,t30,2023-02-13
zachodniopomorskie,-,-,52,-,-,0.31,0,0,0,154,0,0,334,53,280,1,t32,2023-02-13
