wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,1171,-,-,0.31,15,3,12,1362,0,0,7644,1321,6308,15,t00,2023-04-05
dolnośląskie,-,-,51,-,-,0.18,0,0,0,51,0,0,299,57,241,1,t02,2023-04-05
kujawsko-pomorskie,-,-,40,-,-,0.19,2,0,2,113,0,0,412,44,365,3,t04,2023-04-05
lubelskie,-,-,97,-,-,0.46,1,0,1,82,0,0,612,112,499,1,t06,2023-04-05
lubuskie,-,-,29,-,-,0.29,0,0,0,27,0,0,155,32,123,0,t08,2023-04-05
łódzkie,-,-,69,-,-,0.28,0,0,0,114,0,0,458,72,385,1,t10,2023-04-05
małopolskie,-,-,77,-,-,0.23,0,0,0,119,0,0,436,78,357,1,t12,2023-04-05
mazowieckie,-,-,214,-,-,0.39,2,1,1,198,0,0,1739,249,1490,0,t14,2023-04-05
opolskie,-,-,17,-,-,0.17,0,0,0,13,0,0,213,20,192,1,t16,2023-04-05
podkarpackie,-,-,66,-,-,0.31,2,0,2,85,0,0,343,69,274,0,t18,2023-04-05
podlaskie,-,-,67,-,-,0.57,1,0,1,69,0,0,256,72,184,0,t20,2023-04-05
pomorskie,-,-,61,-,-,0.26,0,0,0,69,0,0,427,69,357,1,t22,2023-04-05
śląskie,-,-,84,-,-,0.19,1,0,1,142,0,0,574,92,481,1,t24,2023-04-05
świętokrzyskie,-,-,43,-,-,0.35,1,1,0,34,0,0,178,54,124,0,t26,2023-04-05
warmińsko-mazurskie,-,-,67,-,-,0.47,0,0,0,70,0,0,424,80,344,0,t28,2023-04-05
wielkopolskie,-,-,98,-,-,0.28,2,1,1,59,0,0,391,113,275,3,t30,2023-04-05
zachodniopomorskie,-,-,74,-,-,0.44,3,0,3,117,0,0,420,81,338,1,t32,2023-04-05
