wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,3364,-,-,0.88,8,3,5,3079,0,0,10716,3606,7075,35,t00,2023-03-16
dolnośląskie,-,-,152,-,-,0.52,1,1,0,125,0,0,422,157,265,0,t02,2023-03-16
kujawsko-pomorskie,-,-,243,-,-,1.17,0,0,0,245,0,0,704,258,445,1,t04,2023-03-16
lubelskie,-,-,246,-,-,1.17,0,0,0,209,0,0,864,262,599,3,t06,2023-03-16
lubuskie,-,-,73,-,-,0.72,0,0,0,60,0,0,196,75,121,0,t08,2023-03-16
łódzkie,-,-,204,-,-,0.83,0,0,0,220,0,0,624,208,413,3,t10,2023-03-16
małopolskie,-,-,290,-,-,0.85,0,0,0,294,0,0,684,309,374,1,t12,2023-03-16
mazowieckie,-,-,537,-,-,0.99,1,0,1,431,0,0,1684,560,1122,2,t14,2023-03-16
opolskie,-,-,53,-,-,0.54,0,0,0,34,0,0,287,61,226,0,t16,2023-03-16
podkarpackie,-,-,135,-,-,0.64,2,0,2,165,0,0,471,145,325,1,t18,2023-03-16
podlaskie,-,-,138,-,-,1.17,1,0,1,118,0,0,375,157,217,1,t20,2023-03-16
pomorskie,-,-,154,-,-,0.66,2,2,0,189,0,0,614,165,449,0,t22,2023-03-16
śląskie,-,-,374,-,-,0.83,0,0,0,319,0,0,1328,406,909,13,t24,2023-03-16
świętokrzyskie,-,-,117,-,-,0.95,0,0,0,93,0,0,291,128,162,1,t26,2023-03-16
warmińsko-mazurskie,-,-,151,-,-,1.06,0,0,0,184,0,0,684,163,521,0,t28,2023-03-16
wielkopolskie,-,-,270,-,-,0.77,1,0,1,208,0,0,607,301,305,1,t30,2023-03-16
zachodniopomorskie,-,-,180,-,-,1.06,0,0,0,184,0,0,535,191,341,3,t32,2023-03-16
