wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,160,-,-,0.04,0,0,0,497,0,0,1487,164,1322,1,t00,2024-11-21
dolnośląskie,-,-,8,-,-,0.03,0,0,0,22,0,0,87,8,79,0,t02,2024-11-21
kujawsko-pomorskie,-,-,11,-,-,0.05,0,0,0,25,0,0,97,12,84,1,t04,2024-11-21
lubelskie,-,-,14,-,-,0.07,0,0,0,50,0,0,88,16,72,0,t06,2024-11-21
lubuskie,-,-,2,-,-,0.02,0,0,0,11,0,0,23,2,21,0,t08,2024-11-21
łódzkie,-,-,5,-,-,0.02,0,0,0,23,0,0,45,6,39,0,t10,2024-11-21
małopolskie,-,-,14,-,-,0.04,0,0,0,48,0,0,115,14,101,0,t12,2024-11-21
mazowieckie,-,-,27,-,-,0.05,0,0,0,57,0,0,399,27,372,0,t14,2024-11-21
opolskie,-,-,7,-,-,0.07,0,0,0,4,0,0,43,7,36,0,t16,2024-11-21
podkarpackie,-,-,11,-,-,0.05,0,0,0,81,0,0,128,11,117,0,t18,2024-11-21
podlaskie,-,-,15,-,-,0.13,0,0,0,40,0,0,75,15,60,0,t20,2024-11-21
pomorskie,-,-,9,-,-,0.04,0,0,0,17,0,0,60,9,51,0,t22,2024-11-21
śląskie,-,-,14,-,-,0.03,0,0,0,41,0,0,116,14,102,0,t24,2024-11-21
świętokrzyskie,-,-,3,-,-,0.02,0,0,0,3,0,0,18,3,15,0,t26,2024-11-21
warmińsko-mazurskie,-,-,5,-,-,0.04,0,0,0,24,0,0,35,5,30,0,t28,2024-11-21
wielkopolskie,-,-,11,-,-,0.03,0,0,0,26,0,0,61,11,50,0,t30,2024-11-21
zachodniopomorskie,-,-,3,-,-,0.02,0,0,0,25,0,0,45,3,42,0,t32,2024-11-21
