wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,234,-,-,0.06,4,2,2,440,0,0,4115,301,3805,9,t00,2023-05-05
dolnośląskie,-,-,14,-,-,0.05,1,0,1,24,0,0,180,14,166,0,t02,2023-05-05
kujawsko-pomorskie,-,-,15,-,-,0.07,0,0,0,36,0,0,173,15,157,1,t04,2023-05-05
lubelskie,-,-,12,-,-,0.06,0,0,0,18,0,0,321,13,308,0,t06,2023-05-05
lubuskie,-,-,9,-,-,0.09,0,0,0,13,0,0,67,11,56,0,t08,2023-05-05
łódzkie,-,-,8,-,-,0.03,0,0,0,30,0,0,205,10,195,0,t10,2023-05-05
małopolskie,-,-,7,-,-,0.02,0,0,0,47,0,0,180,9,171,0,t12,2023-05-05
mazowieckie,-,-,34,-,-,0.06,3,2,1,55,0,0,707,41,666,0,t14,2023-05-05
opolskie,-,-,8,-,-,0.08,0,0,0,2,0,0,145,8,137,0,t16,2023-05-05
podkarpackie,-,-,17,-,-,0.08,0,0,0,27,0,0,155,17,138,0,t18,2023-05-05
podlaskie,-,-,6,-,-,0.05,0,0,0,23,0,0,103,6,96,1,t20,2023-05-05
pomorskie,-,-,9,-,-,0.04,0,0,0,20,0,0,151,11,139,1,t22,2023-05-05
śląskie,-,-,18,-,-,0.04,0,0,0,55,0,0,320,19,300,1,t24,2023-05-05
świętokrzyskie,-,-,7,-,-,0.06,0,0,0,3,0,0,79,7,72,0,t26,2023-05-05
warmińsko-mazurskie,-,-,11,-,-,0.08,0,0,0,25,0,0,227,13,214,0,t28,2023-05-05
wielkopolskie,-,-,14,-,-,0.04,0,0,0,20,0,0,136,15,121,0,t30,2023-05-05
zachodniopomorskie,-,-,17,-,-,0.1,0,0,0,42,0,0,209,17,191,1,t32,2023-05-05
