wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,194,-,-,0.05,0,0,0,284,0,0,964,198,765,1,t00,2023-09-11
dolnośląskie,-,-,13,-,-,0.04,0,0,0,7,0,0,23,13,10,0,t02,2023-09-11
kujawsko-pomorskie,-,-,6,-,-,0.03,0,0,0,12,0,0,44,6,38,0,t04,2023-09-11
lubelskie,-,-,25,-,-,0.12,0,0,0,26,0,0,44,25,19,0,t06,2023-09-11
lubuskie,-,-,1,-,-,0.01,0,0,0,5,0,0,12,1,11,0,t08,2023-09-11
łódzkie,-,-,8,-,-,0.03,0,0,0,10,0,0,17,8,9,0,t10,2023-09-11
małopolskie,-,-,12,-,-,0.04,0,0,0,34,0,0,40,12,28,0,t12,2023-09-11
mazowieckie,-,-,37,-,-,0.07,0,0,0,34,0,0,384,37,347,0,t14,2023-09-11
opolskie,-,-,6,-,-,0.06,0,0,0,7,0,0,36,6,30,0,t16,2023-09-11
podkarpackie,-,-,10,-,-,0.05,0,0,0,18,0,0,45,10,35,0,t18,2023-09-11
podlaskie,-,-,15,-,-,0.13,0,0,0,19,0,0,43,15,28,0,t20,2023-09-11
pomorskie,-,-,13,-,-,0.06,0,0,0,8,0,0,32,13,19,0,t22,2023-09-11
śląskie,-,-,10,-,-,0.02,0,0,0,21,0,0,45,10,35,0,t24,2023-09-11
świętokrzyskie,-,-,5,-,-,0.04,0,0,0,5,0,0,10,5,5,0,t26,2023-09-11
warmińsko-mazurskie,-,-,2,-,-,0.01,0,0,0,10,0,0,18,4,13,1,t28,2023-09-11
wielkopolskie,-,-,13,-,-,0.04,0,0,0,32,0,0,55,13,42,0,t30,2023-09-11
zachodniopomorskie,-,-,16,-,-,0.09,0,0,0,36,0,0,54,16,38,0,t32,2023-09-11
