wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,165,-,-,0.04,1,1,0,247,0,0,843,168,675,0,t00,2023-09-12
dolnośląskie,-,-,13,-,-,0.04,0,0,0,5,0,0,23,13,10,0,t02,2023-09-12
kujawsko-pomorskie,-,-,9,-,-,0.04,0,0,0,18,0,0,25,10,15,0,t04,2023-09-12
lubelskie,-,-,18,-,-,0.09,0,0,0,18,0,0,31,18,13,0,t06,2023-09-12
lubuskie,-,-,5,-,-,0.05,0,0,0,4,0,0,8,5,3,0,t08,2023-09-12
łódzkie,-,-,3,-,-,0.01,0,0,0,6,0,0,9,3,6,0,t10,2023-09-12
małopolskie,-,-,17,-,-,0.05,0,0,0,45,0,0,74,17,57,0,t12,2023-09-12
mazowieckie,-,-,32,-,-,0.06,0,0,0,38,0,0,361,32,329,0,t14,2023-09-12
opolskie,-,-,6,-,-,0.06,0,0,0,3,0,0,37,6,31,0,t16,2023-09-12
podkarpackie,-,-,9,-,-,0.04,0,0,0,16,0,0,26,9,17,0,t18,2023-09-12
podlaskie,-,-,5,-,-,0.04,0,0,0,11,0,0,20,6,14,0,t20,2023-09-12
pomorskie,-,-,10,-,-,0.04,0,0,0,9,0,0,46,10,36,0,t22,2023-09-12
śląskie,-,-,12,-,-,0.03,0,0,0,31,0,0,58,12,46,0,t24,2023-09-12
świętokrzyskie,-,-,2,-,-,0.02,0,0,0,0,0,0,6,2,4,0,t26,2023-09-12
warmińsko-mazurskie,-,-,2,-,-,0.01,1,1,0,8,0,0,11,2,9,0,t28,2023-09-12
wielkopolskie,-,-,10,-,-,0.03,0,0,0,13,0,0,28,10,18,0,t30,2023-09-12
zachodniopomorskie,-,-,10,-,-,0.06,0,0,0,22,0,0,44,10,34,0,t32,2023-09-12
