wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,2813,-,-,0.73,10,3,7,2542,0,0,8499,2956,5518,25,t00,2023-02-22
dolnośląskie,-,-,162,-,-,0.56,0,0,0,85,0,0,416,172,243,1,t02,2023-02-22
kujawsko-pomorskie,-,-,209,-,-,1.01,1,0,1,198,0,0,478,220,256,2,t04,2023-02-22
lubelskie,-,-,220,-,-,1.05,0,0,0,154,0,0,640,230,409,1,t06,2023-02-22
lubuskie,-,-,60,-,-,0.59,0,0,0,68,0,0,158,60,98,0,t08,2023-02-22
łódzkie,-,-,232,-,-,0.95,1,0,1,244,0,0,603,235,366,2,t10,2023-02-22
małopolskie,-,-,207,-,-,0.61,1,1,0,271,0,0,564,212,350,2,t12,2023-02-22
mazowieckie,-,-,289,-,-,0.53,2,2,0,224,0,0,1118,303,812,3,t14,2023-02-22
opolskie,-,-,55,-,-,0.56,0,0,0,35,0,0,319,58,260,1,t16,2023-02-22
podkarpackie,-,-,163,-,-,0.77,0,0,0,114,0,0,498,171,325,2,t18,2023-02-22
podlaskie,-,-,131,-,-,1.11,1,0,1,85,0,0,334,139,195,0,t20,2023-02-22
pomorskie,-,-,119,-,-,0.51,1,0,1,135,0,0,455,134,321,0,t22,2023-02-22
śląskie,-,-,504,-,-,1.12,0,0,0,504,0,0,1219,523,688,8,t24,2023-02-22
świętokrzyskie,-,-,71,-,-,0.58,0,0,0,40,0,0,178,73,105,0,t26,2023-02-22
warmińsko-mazurskie,-,-,122,-,-,0.86,0,0,0,130,0,0,435,132,301,2,t28,2023-02-22
wielkopolskie,-,-,177,-,-,0.51,3,0,3,145,0,0,395,185,209,1,t30,2023-02-22
zachodniopomorskie,-,-,63,-,-,0.37,0,0,0,108,0,0,365,74,291,0,t32,2023-02-22
