wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,4160,-,-,1.08,35,16,19,4048,0,0,8676,4292,4378,6,t00,2023-12-18
dolnośląskie,-,-,241,-,-,0.83,0,0,0,173,0,0,422,249,173,0,t02,2023-12-18
kujawsko-pomorskie,-,-,335,-,-,1.62,3,0,3,332,0,0,704,347,355,2,t04,2023-12-18
lubelskie,-,-,353,-,-,1.68,2,0,2,391,0,0,708,366,342,0,t06,2023-12-18
lubuskie,-,-,160,-,-,1.58,5,0,5,153,0,0,287,160,127,0,t08,2023-12-18
łódzkie,-,-,207,-,-,0.85,2,1,1,264,0,0,394,212,182,0,t10,2023-12-18
małopolskie,-,-,248,-,-,0.73,3,3,0,306,0,0,533,253,280,0,t12,2023-12-18
mazowieckie,-,-,648,-,-,1.19,6,6,0,546,0,0,1490,666,822,2,t14,2023-12-18
opolskie,-,-,84,-,-,0.86,0,0,0,54,0,0,163,84,78,1,t16,2023-12-18
podkarpackie,-,-,231,-,-,1.09,4,4,0,224,0,0,449,238,211,0,t18,2023-12-18
podlaskie,-,-,129,-,-,1.1,1,0,1,146,0,0,316,132,184,0,t20,2023-12-18
pomorskie,-,-,189,-,-,0.81,2,2,0,133,0,0,434,195,239,0,t22,2023-12-18
śląskie,-,-,516,-,-,1.14,0,0,0,516,0,0,1093,532,561,0,t24,2023-12-18
świętokrzyskie,-,-,128,-,-,1.04,0,0,0,110,0,0,200,130,69,1,t26,2023-12-18
warmińsko-mazurskie,-,-,148,-,-,1.04,1,0,1,155,0,0,348,151,197,0,t28,2023-12-18
wielkopolskie,-,-,322,-,-,0.92,5,0,5,306,0,0,505,326,179,0,t30,2023-12-18
zachodniopomorskie,-,-,192,-,-,1.13,1,0,1,235,0,0,441,196,245,0,t32,2023-12-18
