wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,3137,-,-,0.82,18,10,8,2703,0,0,5946,3229,2712,5,t00,2023-12-06
dolnośląskie,-,-,191,-,-,0.66,0,0,0,99,0,0,340,204,136,0,t02,2023-12-06
kujawsko-pomorskie,-,-,279,-,-,1.35,2,2,0,240,0,0,590,284,302,4,t04,2023-12-06
lubelskie,-,-,254,-,-,1.21,0,0,0,273,0,0,454,269,185,0,t06,2023-12-06
lubuskie,-,-,79,-,-,0.78,1,0,1,71,0,0,149,81,68,0,t08,2023-12-06
łódzkie,-,-,165,-,-,0.67,5,3,2,165,0,0,270,166,104,0,t10,2023-12-06
małopolskie,-,-,224,-,-,0.66,0,0,0,241,0,0,409,228,181,0,t12,2023-12-06
mazowieckie,-,-,528,-,-,0.97,1,0,1,396,0,0,1135,544,591,0,t14,2023-12-06
opolskie,-,-,84,-,-,0.86,0,0,0,47,0,0,154,87,67,0,t16,2023-12-06
podkarpackie,-,-,145,-,-,0.68,0,0,0,139,0,0,248,145,103,0,t18,2023-12-06
podlaskie,-,-,116,-,-,0.99,0,0,0,110,0,0,217,118,99,0,t20,2023-12-06
pomorskie,-,-,105,-,-,0.45,5,2,3,85,0,0,225,105,120,0,t22,2023-12-06
śląskie,-,-,317,-,-,0.7,2,2,0,290,0,0,590,335,254,1,t24,2023-12-06
świętokrzyskie,-,-,70,-,-,0.57,0,0,0,58,0,0,109,70,39,0,t26,2023-12-06
warmińsko-mazurskie,-,-,87,-,-,0.61,0,0,0,96,0,0,176,89,87,0,t28,2023-12-06
wielkopolskie,-,-,316,-,-,0.9,2,1,1,225,0,0,436,324,112,0,t30,2023-12-06
zachodniopomorskie,-,-,160,-,-,0.94,0,0,0,163,0,0,298,161,137,0,t32,2023-12-06
