wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,2917,-,-,0.76,40,21,19,2772,0,0,6228,2994,3224,10,t00,2023-12-14
dolnośląskie,-,-,158,-,-,0.55,3,3,0,113,0,0,316,162,154,0,t02,2023-12-14
kujawsko-pomorskie,-,-,243,-,-,1.17,6,1,5,242,0,0,522,247,272,3,t04,2023-12-14
lubelskie,-,-,225,-,-,1.07,1,0,1,244,0,0,417,232,185,0,t06,2023-12-14
lubuskie,-,-,90,-,-,0.89,3,3,0,76,0,0,202,93,109,0,t08,2023-12-14
łódzkie,-,-,148,-,-,0.6,6,3,3,184,0,0,298,152,146,0,t10,2023-12-14
małopolskie,-,-,238,-,-,0.7,3,1,2,273,0,0,469,244,224,1,t12,2023-12-14
mazowieckie,-,-,436,-,-,0.8,4,4,0,341,0,0,1100,449,649,2,t14,2023-12-14
opolskie,-,-,69,-,-,0.7,5,3,2,53,0,0,153,69,84,0,t16,2023-12-14
podkarpackie,-,-,174,-,-,0.82,1,1,0,166,0,0,347,182,163,2,t18,2023-12-14
podlaskie,-,-,97,-,-,0.82,1,0,1,101,0,0,201,100,101,0,t20,2023-12-14
pomorskie,-,-,126,-,-,0.54,1,1,0,105,0,0,315,128,186,1,t22,2023-12-14
śląskie,-,-,311,-,-,0.69,4,1,3,335,0,0,699,316,383,0,t24,2023-12-14
świętokrzyskie,-,-,74,-,-,0.6,1,0,1,62,0,0,122,75,46,1,t26,2023-12-14
warmińsko-mazurskie,-,-,105,-,-,0.74,0,0,0,123,0,0,206,106,100,0,t28,2023-12-14
wielkopolskie,-,-,239,-,-,0.68,0,0,0,162,0,0,365,244,121,0,t30,2023-12-14
zachodniopomorskie,-,-,155,-,-,0.92,1,0,1,190,0,0,326,159,167,0,t32,2023-12-14
