wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,2264,-,-,0.59,1,1,0,1966,0,0,4416,2343,2071,2,t00,2024-09-19
dolnośląskie,-,-,109,-,-,0.38,0,0,0,78,0,0,195,109,86,0,t02,2024-09-19
kujawsko-pomorskie,-,-,205,-,-,0.99,0,0,0,143,0,0,414,207,206,1,t04,2024-09-19
lubelskie,-,-,262,-,-,1.25,0,0,0,256,0,0,368,268,100,0,t06,2024-09-19
lubuskie,-,-,47,-,-,0.47,0,0,0,44,0,0,81,48,33,0,t08,2024-09-19
łódzkie,-,-,83,-,-,0.34,0,0,0,95,0,0,158,85,73,0,t10,2024-09-19
małopolskie,-,-,171,-,-,0.5,0,0,0,158,0,0,288,173,115,0,t12,2024-09-19
mazowieckie,-,-,399,-,-,0.74,0,0,0,314,0,0,957,413,544,0,t14,2024-09-19
opolskie,-,-,32,-,-,0.33,0,0,0,22,0,0,89,32,57,0,t16,2024-09-19
podkarpackie,-,-,146,-,-,0.69,0,0,0,127,0,0,288,156,132,0,t18,2024-09-19
podlaskie,-,-,132,-,-,1.12,0,0,0,130,0,0,220,134,85,1,t20,2024-09-19
pomorskie,-,-,100,-,-,0.43,0,0,0,87,0,0,216,103,113,0,t22,2024-09-19
śląskie,-,-,134,-,-,0.3,1,1,0,155,0,0,302,135,167,0,t24,2024-09-19
świętokrzyskie,-,-,94,-,-,0.76,0,0,0,72,0,0,130,96,34,0,t26,2024-09-19
warmińsko-mazurskie,-,-,105,-,-,0.74,0,0,0,85,0,0,182,127,55,0,t28,2024-09-19
wielkopolskie,-,-,166,-,-,0.47,0,0,0,121,0,0,279,173,106,0,t30,2024-09-19
zachodniopomorskie,-,-,65,-,-,0.38,0,0,0,77,0,0,167,66,101,0,t32,2024-09-19
