wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,259,-,-,0.07,8,3,5,1274,0,0,3782,270,3510,2,t00,2024-02-13
dolnośląskie,-,-,12,-,-,0.04,1,0,1,68,0,0,279,12,267,0,t02,2024-02-13
kujawsko-pomorskie,-,-,13,-,-,0.06,0,0,0,82,0,0,240,14,224,2,t04,2024-02-13
lubelskie,-,-,27,-,-,0.13,1,1,0,108,0,0,189,28,161,0,t06,2024-02-13
lubuskie,-,-,4,-,-,0.04,0,0,0,32,0,0,81,4,77,0,t08,2024-02-13
łódzkie,-,-,13,-,-,0.05,0,0,0,67,0,0,149,14,135,0,t10,2024-02-13
małopolskie,-,-,6,-,-,0.02,0,0,0,103,0,0,202,6,196,0,t12,2024-02-13
mazowieckie,-,-,73,-,-,0.13,1,1,0,199,0,0,768,75,693,0,t14,2024-02-13
opolskie,-,-,0,-,-,0.0,0,0,0,0,0,0,85,0,85,0,t16,2024-02-13
podkarpackie,-,-,8,-,-,0.04,1,0,1,80,0,0,149,8,141,0,t18,2024-02-13
podlaskie,-,-,15,-,-,0.13,1,0,1,86,0,0,139,16,123,0,t20,2024-02-13
pomorskie,-,-,12,-,-,0.05,1,0,1,67,0,0,269,12,257,0,t22,2024-02-13
śląskie,-,-,18,-,-,0.04,0,0,0,157,0,0,394,18,376,0,t24,2024-02-13
świętokrzyskie,-,-,9,-,-,0.07,0,0,0,35,0,0,90,9,81,0,t26,2024-02-13
warmińsko-mazurskie,-,-,10,-,-,0.07,0,0,0,53,0,0,174,14,160,0,t28,2024-02-13
wielkopolskie,-,-,12,-,-,0.03,1,1,0,36,0,0,143,12,131,0,t30,2024-02-13
zachodniopomorskie,-,-,24,-,-,0.14,1,0,1,97,0,0,285,25,260,0,t32,2024-02-13
