wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,244,-,-,0.06,2,0,2,324,0,0,1094,262,831,1,t00,2023-09-29
dolnośląskie,-,-,23,-,-,0.08,0,0,0,22,0,0,73,23,50,0,t02,2023-09-29
kujawsko-pomorskie,-,-,22,-,-,0.11,0,0,0,10,0,0,53,22,31,0,t04,2023-09-29
lubelskie,-,-,17,-,-,0.08,0,0,0,21,0,0,61,20,41,0,t06,2023-09-29
lubuskie,-,-,8,-,-,0.08,0,0,0,9,0,0,14,9,5,0,t08,2023-09-29
łódzkie,-,-,4,-,-,0.02,0,0,0,11,0,0,22,4,18,0,t10,2023-09-29
małopolskie,-,-,18,-,-,0.05,0,0,0,45,0,0,75,18,57,0,t12,2023-09-29
mazowieckie,-,-,38,-,-,0.07,0,0,0,50,0,0,403,38,365,0,t14,2023-09-29
opolskie,-,-,7,-,-,0.07,0,0,0,4,0,0,32,7,25,0,t16,2023-09-29
podkarpackie,-,-,8,-,-,0.04,0,0,0,28,0,0,44,8,36,0,t18,2023-09-29
podlaskie,-,-,19,-,-,0.16,0,0,0,16,0,0,33,19,14,0,t20,2023-09-29
pomorskie,-,-,6,-,-,0.03,0,0,0,14,0,0,48,7,41,0,t22,2023-09-29
śląskie,-,-,21,-,-,0.05,0,0,0,39,0,0,71,21,49,1,t24,2023-09-29
świętokrzyskie,-,-,2,-,-,0.02,0,0,0,2,0,0,7,2,5,0,t26,2023-09-29
warmińsko-mazurskie,-,-,7,-,-,0.05,0,0,0,16,0,0,23,7,16,0,t28,2023-09-29
wielkopolskie,-,-,16,-,-,0.05,1,0,1,8,0,0,40,23,17,0,t30,2023-09-29
zachodniopomorskie,-,-,20,-,-,0.12,1,0,1,29,0,0,45,20,25,0,t32,2023-09-29
