wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,1030,-,-,0.27,4,0,4,888,0,0,2659,1059,1596,4,t00,2023-11-03
dolnośląskie,-,-,75,-,-,0.26,1,0,1,53,0,0,180,78,102,0,t02,2023-11-03
kujawsko-pomorskie,-,-,63,-,-,0.3,0,0,0,61,0,0,128,64,64,0,t04,2023-11-03
lubelskie,-,-,87,-,-,0.41,0,0,0,76,0,0,137,88,48,1,t06,2023-11-03
lubuskie,-,-,32,-,-,0.32,0,0,0,33,0,0,71,32,39,0,t08,2023-11-03
łódzkie,-,-,37,-,-,0.15,0,0,0,23,0,0,74,39,34,1,t10,2023-11-03
małopolskie,-,-,61,-,-,0.18,0,0,0,69,0,0,156,62,93,1,t12,2023-11-03
mazowieckie,-,-,136,-,-,0.25,0,0,0,107,0,0,588,137,451,0,t14,2023-11-03
opolskie,-,-,15,-,-,0.15,1,0,1,9,0,0,77,15,62,0,t16,2023-11-03
podkarpackie,-,-,48,-,-,0.23,0,0,0,55,0,0,125,52,73,0,t18,2023-11-03
podlaskie,-,-,99,-,-,0.84,1,0,1,74,0,0,164,99,65,0,t20,2023-11-03
pomorskie,-,-,41,-,-,0.17,0,0,0,35,0,0,100,42,58,0,t22,2023-11-03
śląskie,-,-,107,-,-,0.24,0,0,0,79,0,0,207,108,98,1,t24,2023-11-03
świętokrzyskie,-,-,40,-,-,0.33,0,0,0,30,0,0,54,42,12,0,t26,2023-11-03
warmińsko-mazurskie,-,-,51,-,-,0.36,1,0,1,42,0,0,246,53,193,0,t28,2023-11-03
wielkopolskie,-,-,78,-,-,0.22,0,0,0,75,0,0,132,80,52,0,t30,2023-11-03
zachodniopomorskie,-,-,48,-,-,0.28,0,0,0,65,0,0,137,51,86,0,t32,2023-11-03
