wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,535,-,-,0.14,6,2,4,792,0,0,2268,560,1706,2,t00,2024-10-24
dolnośląskie,-,-,21,-,-,0.07,0,0,0,28,0,0,90,21,68,1,t02,2024-10-24
kujawsko-pomorskie,-,-,33,-,-,0.16,0,0,0,54,0,0,155,33,121,1,t04,2024-10-24
lubelskie,-,-,63,-,-,0.3,0,0,0,105,0,0,200,64,136,0,t06,2024-10-24
lubuskie,-,-,13,-,-,0.13,0,0,0,13,0,0,34,13,21,0,t08,2024-10-24
łódzkie,-,-,19,-,-,0.08,2,2,0,43,0,0,68,20,48,0,t10,2024-10-24
małopolskie,-,-,30,-,-,0.09,0,0,0,59,0,0,164,32,132,0,t12,2024-10-24
mazowieckie,-,-,82,-,-,0.15,0,0,0,101,0,0,510,82,428,0,t14,2024-10-24
opolskie,-,-,7,-,-,0.07,0,0,0,5,0,0,46,7,39,0,t16,2024-10-24
podkarpackie,-,-,35,-,-,0.16,2,0,2,71,0,0,131,36,95,0,t18,2024-10-24
podlaskie,-,-,43,-,-,0.37,0,0,0,81,0,0,141,44,97,0,t20,2024-10-24
pomorskie,-,-,22,-,-,0.09,0,0,0,37,0,0,85,23,62,0,t22,2024-10-24
śląskie,-,-,50,-,-,0.11,0,0,0,96,0,0,228,52,176,0,t24,2024-10-24
świętokrzyskie,-,-,18,-,-,0.15,0,0,0,20,0,0,57,19,38,0,t26,2024-10-24
warmińsko-mazurskie,-,-,24,-,-,0.17,1,0,1,13,0,0,49,24,25,0,t28,2024-10-24
wielkopolskie,-,-,53,-,-,0.15,1,0,1,34,0,0,137,57,80,0,t30,2024-10-24
zachodniopomorskie,-,-,15,-,-,0.09,0,0,0,30,0,0,88,17,71,0,t32,2024-10-24
