wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,1541,-,-,0.4,34,9,25,1808,0,0,7574,1715,5839,20,t00,2023-03-29
dolnośląskie,-,-,64,-,-,0.22,0,0,0,62,0,0,316,71,245,0,t02,2023-03-29
kujawsko-pomorskie,-,-,99,-,-,0.48,5,1,4,165,0,0,457,106,349,2,t04,2023-03-29
lubelskie,-,-,118,-,-,0.56,1,0,1,93,0,0,614,127,487,0,t06,2023-03-29
lubuskie,-,-,30,-,-,0.3,1,1,0,34,0,0,105,31,74,0,t08,2023-03-29
łódzkie,-,-,80,-,-,0.33,0,0,0,123,0,0,410,91,319,0,t10,2023-03-29
małopolskie,-,-,127,-,-,0.37,1,0,1,162,0,0,519,132,385,2,t12,2023-03-29
mazowieckie,-,-,282,-,-,0.52,6,2,4,278,0,0,1281,322,955,4,t14,2023-03-29
opolskie,-,-,25,-,-,0.25,2,0,2,24,0,0,284,40,243,1,t16,2023-03-29
podkarpackie,-,-,67,-,-,0.32,2,1,1,100,0,0,351,72,279,0,t18,2023-03-29
podlaskie,-,-,70,-,-,0.59,2,0,2,96,0,0,315,73,242,0,t20,2023-03-29
pomorskie,-,-,61,-,-,0.26,2,1,1,104,0,0,408,72,333,3,t22,2023-03-29
śląskie,-,-,119,-,-,0.26,4,3,1,198,0,0,708,124,583,1,t24,2023-03-29
świętokrzyskie,-,-,71,-,-,0.58,3,0,3,44,0,0,181,78,103,0,t26,2023-03-29
warmińsko-mazurskie,-,-,75,-,-,0.53,0,0,0,66,0,0,444,99,343,2,t28,2023-03-29
wielkopolskie,-,-,110,-,-,0.31,5,0,5,110,0,0,376,115,260,1,t30,2023-03-29
zachodniopomorskie,-,-,122,-,-,0.72,0,0,0,145,0,0,495,130,364,1,t32,2023-03-29
