wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,45,-,-,0.01,0,0,0,75,0,0,603,46,557,0,t00,2024-06-13
dolnośląskie,-,-,0,-,-,0.0,0,0,0,3,0,0,4,0,4,0,t02,2024-06-13
kujawsko-pomorskie,-,-,4,-,-,0.02,0,0,0,4,0,0,19,4,15,0,t04,2024-06-13
lubelskie,-,-,4,-,-,0.02,0,0,0,9,0,0,26,4,22,0,t06,2024-06-13
lubuskie,-,-,2,-,-,0.02,0,0,0,3,0,0,5,2,3,0,t08,2024-06-13
łódzkie,-,-,1,-,-,0.0,0,0,0,2,0,0,4,1,3,0,t10,2024-06-13
małopolskie,-,-,2,-,-,0.01,0,0,0,4,0,0,24,2,22,0,t12,2024-06-13
mazowieckie,-,-,7,-,-,0.01,0,0,0,10,0,0,325,7,318,0,t14,2024-06-13
opolskie,-,-,0,-,-,0.0,0,0,0,0,0,0,19,0,19,0,t16,2024-06-13
podkarpackie,-,-,4,-,-,0.02,0,0,0,5,0,0,13,4,9,0,t18,2024-06-13
podlaskie,-,-,3,-,-,0.03,0,0,0,9,0,0,17,3,14,0,t20,2024-06-13
pomorskie,-,-,2,-,-,0.01,0,0,0,11,0,0,48,3,45,0,t22,2024-06-13
śląskie,-,-,5,-,-,0.01,0,0,0,7,0,0,20,5,15,0,t24,2024-06-13
świętokrzyskie,-,-,2,-,-,0.02,0,0,0,2,0,0,3,2,1,0,t26,2024-06-13
warmińsko-mazurskie,-,-,1,-,-,0.01,0,0,0,4,0,0,10,1,9,0,t28,2024-06-13
wielkopolskie,-,-,4,-,-,0.01,0,0,0,1,0,0,26,4,22,0,t30,2024-06-13
zachodniopomorskie,-,-,3,-,-,0.02,0,0,0,1,0,0,20,3,17,0,t32,2024-06-13
