wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,2847,-,-,0.74,29,12,17,2734,0,0,6314,2934,3377,3,t00,2023-12-20
dolnośląskie,-,-,143,-,-,0.49,4,4,0,118,0,0,350,150,199,1,t02,2023-12-20
kujawsko-pomorskie,-,-,200,-,-,0.97,3,0,3,234,0,0,489,205,284,0,t04,2023-12-20
lubelskie,-,-,251,-,-,1.19,2,1,1,266,0,0,485,257,226,2,t06,2023-12-20
lubuskie,-,-,78,-,-,0.77,1,1,0,75,0,0,175,78,97,0,t08,2023-12-20
łódzkie,-,-,124,-,-,0.51,0,0,0,130,0,0,245,126,119,0,t10,2023-12-20
małopolskie,-,-,179,-,-,0.52,2,1,1,211,0,0,407,181,226,0,t12,2023-12-20
mazowieckie,-,-,453,-,-,0.83,6,3,3,368,0,0,1113,461,652,0,t14,2023-12-20
opolskie,-,-,95,-,-,0.97,0,0,0,67,0,0,160,98,62,0,t16,2023-12-20
podkarpackie,-,-,153,-,-,0.72,1,0,1,163,0,0,361,173,188,0,t18,2023-12-20
podlaskie,-,-,110,-,-,0.93,0,0,0,123,0,0,256,112,144,0,t20,2023-12-20
pomorskie,-,-,98,-,-,0.42,1,0,1,83,0,0,230,98,132,0,t22,2023-12-20
śląskie,-,-,421,-,-,0.93,2,1,1,401,0,0,827,430,397,0,t24,2023-12-20
świętokrzyskie,-,-,60,-,-,0.49,0,0,0,66,0,0,112,60,52,0,t26,2023-12-20
warmińsko-mazurskie,-,-,74,-,-,0.52,1,0,1,85,0,0,179,76,103,0,t28,2023-12-20
wielkopolskie,-,-,248,-,-,0.71,6,1,5,171,0,0,411,253,158,0,t30,2023-12-20
zachodniopomorskie,-,-,139,-,-,0.82,0,0,0,172,0,0,361,142,219,0,t32,2023-12-20
