wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,100,-,-,0.03,0,0,0,3,0,0,738,107,631,0,t00,2023-12-25
dolnośląskie,-,-,8,-,-,0.03,0,0,0,1,0,0,10,8,2,0,t02,2023-12-25
kujawsko-pomorskie,-,-,5,-,-,0.02,0,0,0,0,0,0,13,5,8,0,t04,2023-12-25
lubelskie,-,-,4,-,-,0.02,0,0,0,0,0,0,16,4,12,0,t06,2023-12-25
lubuskie,-,-,0,-,-,0.0,0,0,0,0,0,0,2,0,2,0,t08,2023-12-25
łódzkie,-,-,0,-,-,0.0,0,0,0,0,0,0,2,0,2,0,t10,2023-12-25
małopolskie,-,-,12,-,-,0.04,0,0,0,0,0,0,32,12,20,0,t12,2023-12-25
mazowieckie,-,-,24,-,-,0.04,0,0,0,0,0,0,352,24,328,0,t14,2023-12-25
opolskie,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t16,2023-12-25
podkarpackie,-,-,7,-,-,0.03,0,0,0,1,0,0,9,7,2,0,t18,2023-12-25
podlaskie,-,-,4,-,-,0.03,0,0,0,0,0,0,34,5,29,0,t20,2023-12-25
pomorskie,-,-,11,-,-,0.05,0,0,0,0,0,0,101,12,89,0,t22,2023-12-25
śląskie,-,-,13,-,-,0.03,0,0,0,1,0,0,67,13,54,0,t24,2023-12-25
świętokrzyskie,-,-,3,-,-,0.02,0,0,0,0,0,0,5,3,2,0,t26,2023-12-25
warmińsko-mazurskie,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t28,2023-12-25
wielkopolskie,-,-,6,-,-,0.02,0,0,0,0,0,0,13,6,7,0,t30,2023-12-25
zachodniopomorskie,-,-,1,-,-,0.01,0,0,0,0,0,0,27,1,26,0,t32,2023-12-25
