wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,1923,-,-,0.5,8,1,7,1838,0,0,6627,2031,4576,20,t00,2023-02-16
dolnośląskie,-,-,100,-,-,0.35,0,0,0,88,0,0,358,103,255,0,t02,2023-02-16
kujawsko-pomorskie,-,-,123,-,-,0.59,3,1,2,106,0,0,349,130,217,2,t04,2023-02-16
lubelskie,-,-,141,-,-,0.67,0,0,0,116,0,0,490,145,344,1,t06,2023-02-16
lubuskie,-,-,34,-,-,0.34,1,0,1,44,0,0,117,36,81,0,t08,2023-02-16
łódzkie,-,-,166,-,-,0.68,0,0,0,205,0,0,472,169,303,0,t10,2023-02-16
małopolskie,-,-,140,-,-,0.41,0,0,0,168,0,0,424,149,273,2,t12,2023-02-16
mazowieckie,-,-,243,-,-,0.45,1,0,1,171,0,0,984,254,728,2,t14,2023-02-16
opolskie,-,-,53,-,-,0.54,0,0,0,34,0,0,251,58,188,5,t16,2023-02-16
podkarpackie,-,-,100,-,-,0.47,1,0,1,57,0,0,318,105,213,0,t18,2023-02-16
podlaskie,-,-,55,-,-,0.47,0,0,0,64,0,0,203,57,145,1,t20,2023-02-16
pomorskie,-,-,76,-,-,0.32,0,0,0,115,0,0,310,80,229,1,t22,2023-02-16
śląskie,-,-,375,-,-,0.83,0,0,0,373,0,0,904,390,513,1,t24,2023-02-16
świętokrzyskie,-,-,55,-,-,0.45,2,0,2,38,0,0,183,68,115,0,t26,2023-02-16
warmińsko-mazurskie,-,-,67,-,-,0.47,0,0,0,73,0,0,296,71,225,0,t28,2023-02-16
wielkopolskie,-,-,114,-,-,0.33,0,0,0,78,0,0,298,120,175,3,t30,2023-02-16
zachodniopomorskie,-,-,57,-,-,0.34,0,0,0,107,0,0,340,59,281,0,t32,2023-02-16
