wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,2063,-,-,0.54,3,1,2,1828,0,0,3899,2112,1785,2,t00,2024-09-13
dolnośląskie,-,-,75,-,-,0.26,1,0,1,53,0,0,149,76,73,0,t02,2024-09-13
kujawsko-pomorskie,-,-,160,-,-,0.77,0,0,0,127,0,0,303,164,139,0,t04,2024-09-13
lubelskie,-,-,270,-,-,1.28,1,1,0,243,0,0,363,272,90,1,t06,2024-09-13
lubuskie,-,-,37,-,-,0.37,0,0,0,26,0,0,67,37,30,0,t08,2024-09-13
łódzkie,-,-,92,-,-,0.38,0,0,0,93,0,0,170,94,76,0,t10,2024-09-13
małopolskie,-,-,159,-,-,0.47,0,0,0,197,0,0,315,160,155,0,t12,2024-09-13
mazowieckie,-,-,418,-,-,0.77,0,0,0,302,0,0,923,428,494,1,t14,2024-09-13
opolskie,-,-,40,-,-,0.41,0,0,0,27,0,0,84,41,43,0,t16,2024-09-13
podkarpackie,-,-,150,-,-,0.71,0,0,0,148,0,0,236,154,82,0,t18,2024-09-13
podlaskie,-,-,119,-,-,1.01,0,0,0,129,0,0,188,119,69,0,t20,2024-09-13
pomorskie,-,-,64,-,-,0.27,1,0,1,63,0,0,186,69,117,0,t22,2024-09-13
śląskie,-,-,117,-,-,0.26,0,0,0,126,0,0,254,119,135,0,t24,2024-09-13
świętokrzyskie,-,-,87,-,-,0.71,0,0,0,53,0,0,119,97,22,0,t26,2024-09-13
warmińsko-mazurskie,-,-,86,-,-,0.61,0,0,0,69,0,0,167,88,79,0,t28,2024-09-13
wielkopolskie,-,-,133,-,-,0.38,0,0,0,95,0,0,208,137,71,0,t30,2024-09-13
zachodniopomorskie,-,-,47,-,-,0.28,0,0,0,76,0,0,109,48,61,0,t32,2024-09-13
