wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,1969,-,-,0.51,8,3,5,1573,0,0,4244,2055,2181,8,t00,2023-11-23
dolnośląskie,-,-,105,-,-,0.36,0,0,0,70,0,0,195,107,88,0,t02,2023-11-23
kujawsko-pomorskie,-,-,138,-,-,0.67,0,0,0,137,0,0,326,139,186,1,t04,2023-11-23
lubelskie,-,-,186,-,-,0.88,0,0,0,134,0,0,337,195,142,0,t06,2023-11-23
lubuskie,-,-,41,-,-,0.41,0,0,0,41,0,0,105,42,62,1,t08,2023-11-23
łódzkie,-,-,98,-,-,0.4,3,3,0,86,0,0,190,99,91,0,t10,2023-11-23
małopolskie,-,-,150,-,-,0.44,0,0,0,136,0,0,282,151,131,0,t12,2023-11-23
mazowieckie,-,-,266,-,-,0.49,1,0,1,202,0,0,790,278,510,2,t14,2023-11-23
opolskie,-,-,59,-,-,0.6,0,0,0,31,0,0,131,59,72,0,t16,2023-11-23
podkarpackie,-,-,104,-,-,0.49,0,0,0,94,0,0,215,106,107,2,t18,2023-11-23
podlaskie,-,-,103,-,-,0.88,0,0,0,75,0,0,203,113,90,0,t20,2023-11-23
pomorskie,-,-,96,-,-,0.41,0,0,0,54,0,0,156,98,57,1,t22,2023-11-23
śląskie,-,-,161,-,-,0.36,1,0,1,181,0,0,404,171,233,0,t24,2023-11-23
świętokrzyskie,-,-,72,-,-,0.59,0,0,0,45,0,0,96,76,20,0,t26,2023-11-23
warmińsko-mazurskie,-,-,121,-,-,0.85,2,0,2,81,0,0,215,141,74,0,t28,2023-11-23
wielkopolskie,-,-,177,-,-,0.51,1,0,1,115,0,0,269,181,88,0,t30,2023-11-23
zachodniopomorskie,-,-,79,-,-,0.47,0,0,0,91,0,0,226,81,145,0,t32,2023-11-23
