wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,105,-,-,0.03,0,0,0,134,0,0,636,108,528,0,t00,2023-09-06
dolnośląskie,-,-,8,-,-,0.03,0,0,0,8,0,0,13,8,5,0,t02,2023-09-06
kujawsko-pomorskie,-,-,5,-,-,0.02,0,0,0,7,0,0,14,5,9,0,t04,2023-09-06
lubelskie,-,-,16,-,-,0.08,0,0,0,14,0,0,26,16,10,0,t06,2023-09-06
lubuskie,-,-,1,-,-,0.01,0,0,0,1,0,0,8,1,7,0,t08,2023-09-06
łódzkie,-,-,1,-,-,0.0,0,0,0,3,0,0,9,1,8,0,t10,2023-09-06
małopolskie,-,-,15,-,-,0.04,0,0,0,14,0,0,28,15,13,0,t12,2023-09-06
mazowieckie,-,-,17,-,-,0.03,0,0,0,21,0,0,339,17,322,0,t14,2023-09-06
opolskie,-,-,1,-,-,0.01,0,0,0,1,0,0,4,1,3,0,t16,2023-09-06
podkarpackie,-,-,5,-,-,0.02,0,0,0,7,0,0,14,5,9,0,t18,2023-09-06
podlaskie,-,-,4,-,-,0.03,0,0,0,4,0,0,15,5,10,0,t20,2023-09-06
pomorskie,-,-,6,-,-,0.03,0,0,0,6,0,0,22,6,16,0,t22,2023-09-06
śląskie,-,-,1,-,-,0.0,0,0,0,19,0,0,39,1,38,0,t24,2023-09-06
świętokrzyskie,-,-,1,-,-,0.01,0,0,0,1,0,0,1,1,0,0,t26,2023-09-06
warmińsko-mazurskie,-,-,4,-,-,0.03,0,0,0,2,0,0,12,6,6,0,t28,2023-09-06
wielkopolskie,-,-,8,-,-,0.02,0,0,0,9,0,0,21,8,13,0,t30,2023-09-06
zachodniopomorskie,-,-,9,-,-,0.05,0,0,0,17,0,0,34,9,25,0,t32,2023-09-06
