wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,989,-,-,0.26,12,2,10,1338,0,0,5654,1068,4574,12,t00,2023-01-30
dolnośląskie,-,-,82,-,-,0.28,0,0,0,124,0,0,325,90,235,0,t02,2023-01-30
kujawsko-pomorskie,-,-,101,-,-,0.49,2,0,2,88,0,0,348,105,242,1,t04,2023-01-30
lubelskie,-,-,43,-,-,0.2,0,0,0,75,0,0,547,44,502,1,t06,2023-01-30
lubuskie,-,-,33,-,-,0.33,0,0,0,58,0,0,140,33,106,1,t08,2023-01-30
łódzkie,-,-,36,-,-,0.15,0,0,0,54,0,0,157,38,119,0,t10,2023-01-30
małopolskie,-,-,89,-,-,0.26,1,0,1,173,0,0,339,90,249,0,t12,2023-01-30
mazowieckie,-,-,161,-,-,0.3,6,1,5,194,0,0,871,175,695,1,t14,2023-01-30
opolskie,-,-,21,-,-,0.21,0,0,0,21,0,0,223,25,198,0,t16,2023-01-30
podkarpackie,-,-,28,-,-,0.13,0,0,0,26,0,0,245,30,215,0,t18,2023-01-30
podlaskie,-,-,30,-,-,0.25,0,0,0,41,0,0,246,37,209,0,t20,2023-01-30
pomorskie,-,-,36,-,-,0.15,0,0,0,38,0,0,167,36,131,0,t22,2023-01-30
śląskie,-,-,163,-,-,0.36,0,0,0,201,0,0,670,171,497,2,t24,2023-01-30
świętokrzyskie,-,-,32,-,-,0.26,0,0,0,23,0,0,160,34,125,1,t26,2023-01-30
warmińsko-mazurskie,-,-,22,-,-,0.15,2,0,2,28,0,0,307,24,283,0,t28,2023-01-30
wielkopolskie,-,-,60,-,-,0.17,1,1,0,68,0,0,263,74,186,3,t30,2023-01-30
zachodniopomorskie,-,-,45,-,-,0.27,0,0,0,125,0,0,322,46,274,2,t32,2023-01-30
