wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,1785,-,-,0.47,2,1,1,1348,0,0,3199,1843,1355,1,t00,2024-09-03
dolnośląskie,-,-,91,-,-,0.31,0,0,0,46,0,0,161,92,69,0,t02,2024-09-03
kujawsko-pomorskie,-,-,177,-,-,0.86,1,1,0,141,0,0,300,180,119,1,t04,2024-09-03
lubelskie,-,-,204,-,-,0.97,0,0,0,178,0,0,261,207,54,0,t06,2024-09-03
lubuskie,-,-,36,-,-,0.36,0,0,0,19,0,0,50,37,13,0,t08,2024-09-03
łódzkie,-,-,92,-,-,0.38,0,0,0,72,0,0,167,93,74,0,t10,2024-09-03
małopolskie,-,-,103,-,-,0.3,0,0,0,84,0,0,172,104,68,0,t12,2024-09-03
mazowieckie,-,-,353,-,-,0.65,0,0,0,243,0,0,780,362,418,0,t14,2024-09-03
opolskie,-,-,33,-,-,0.34,0,0,0,15,0,0,66,34,32,0,t16,2024-09-03
podkarpackie,-,-,112,-,-,0.53,0,0,0,89,0,0,181,116,65,0,t18,2024-09-03
podlaskie,-,-,124,-,-,1.05,0,0,0,113,0,0,180,128,52,0,t20,2024-09-03
pomorskie,-,-,54,-,-,0.23,1,0,1,61,0,0,130,58,72,0,t22,2024-09-03
śląskie,-,-,101,-,-,0.22,0,0,0,92,0,0,208,103,105,0,t24,2024-09-03
świętokrzyskie,-,-,56,-,-,0.46,0,0,0,30,0,0,91,57,34,0,t26,2024-09-03
warmińsko-mazurskie,-,-,56,-,-,0.39,0,0,0,52,0,0,85,58,27,0,t28,2024-09-03
wielkopolskie,-,-,135,-,-,0.39,0,0,0,75,0,0,187,150,37,0,t30,2024-09-03
zachodniopomorskie,-,-,52,-,-,0.31,0,0,0,37,0,0,108,54,54,0,t32,2024-09-03
