wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,84,-,-,0.02,0,0,0,121,0,0,657,90,567,0,t00,2023-08-28
dolnośląskie,-,-,6,-,-,0.02,0,0,0,5,0,0,16,6,10,0,t02,2023-08-28
kujawsko-pomorskie,-,-,1,-,-,0.0,0,0,0,5,0,0,11,1,10,0,t04,2023-08-28
lubelskie,-,-,5,-,-,0.02,0,0,0,11,0,0,22,5,17,0,t06,2023-08-28
lubuskie,-,-,2,-,-,0.02,0,0,0,3,0,0,7,2,5,0,t08,2023-08-28
łódzkie,-,-,4,-,-,0.02,0,0,0,2,0,0,4,4,0,0,t10,2023-08-28
małopolskie,-,-,10,-,-,0.03,0,0,0,13,0,0,23,10,13,0,t12,2023-08-28
mazowieckie,-,-,17,-,-,0.03,0,0,0,24,0,0,337,19,318,0,t14,2023-08-28
opolskie,-,-,4,-,-,0.04,0,0,0,2,0,0,25,4,21,0,t16,2023-08-28
podkarpackie,-,-,2,-,-,0.01,0,0,0,4,0,0,15,2,13,0,t18,2023-08-28
podlaskie,-,-,2,-,-,0.02,0,0,0,2,0,0,12,2,10,0,t20,2023-08-28
pomorskie,-,-,6,-,-,0.03,0,0,0,9,0,0,23,6,17,0,t22,2023-08-28
śląskie,-,-,11,-,-,0.02,0,0,0,18,0,0,42,11,31,0,t24,2023-08-28
świętokrzyskie,-,-,1,-,-,0.01,0,0,0,1,0,0,1,1,0,0,t26,2023-08-28
warmińsko-mazurskie,-,-,5,-,-,0.04,0,0,0,7,0,0,13,5,8,0,t28,2023-08-28
wielkopolskie,-,-,4,-,-,0.01,0,0,0,6,0,0,21,7,14,0,t30,2023-08-28
zachodniopomorskie,-,-,3,-,-,0.02,0,0,0,9,0,0,20,3,17,0,t32,2023-08-28
