wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,113,-,-,0.03,0,0,0,1,0,0,690,121,569,0,t00,2023-11-11
dolnośląskie,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t02,2023-11-11
kujawsko-pomorskie,-,-,15,-,-,0.07,0,0,0,0,0,0,16,16,0,0,t04,2023-11-11
lubelskie,-,-,16,-,-,0.08,0,0,0,0,0,0,42,17,25,0,t06,2023-11-11
lubuskie,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t08,2023-11-11
łódzkie,-,-,2,-,-,0.01,0,0,0,0,0,0,2,2,0,0,t10,2023-11-11
małopolskie,-,-,7,-,-,0.02,0,0,0,0,0,0,19,7,12,0,t12,2023-11-11
mazowieckie,-,-,19,-,-,0.04,0,0,0,1,0,0,333,19,314,0,t14,2023-11-11
opolskie,-,-,5,-,-,0.05,0,0,0,0,0,0,5,5,0,0,t16,2023-11-11
podkarpackie,-,-,2,-,-,0.01,0,0,0,0,0,0,5,2,3,0,t18,2023-11-11
podlaskie,-,-,5,-,-,0.04,0,0,0,0,0,0,27,6,21,0,t20,2023-11-11
pomorskie,-,-,21,-,-,0.09,0,0,0,0,0,0,137,25,112,0,t22,2023-11-11
śląskie,-,-,2,-,-,0.0,0,0,0,0,0,0,8,2,6,0,t24,2023-11-11
świętokrzyskie,-,-,2,-,-,0.02,0,0,0,0,0,0,3,2,1,0,t26,2023-11-11
warmińsko-mazurskie,-,-,5,-,-,0.04,0,0,0,0,0,0,11,5,6,0,t28,2023-11-11
wielkopolskie,-,-,2,-,-,0.01,0,0,0,0,0,0,11,2,9,0,t30,2023-11-11
zachodniopomorskie,-,-,3,-,-,0.02,0,0,0,0,0,0,21,4,17,0,t32,2023-11-11
