wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,276,-,-,0.07,1,0,1,343,0,0,1281,293,988,0,t00,2023-09-28
dolnośląskie,-,-,21,-,-,0.07,0,0,0,23,0,0,88,21,67,0,t02,2023-09-28
kujawsko-pomorskie,-,-,18,-,-,0.09,0,0,0,11,0,0,40,19,21,0,t04,2023-09-28
lubelskie,-,-,35,-,-,0.17,1,0,1,27,0,0,74,49,25,0,t06,2023-09-28
lubuskie,-,-,4,-,-,0.04,0,0,0,6,0,0,19,4,15,0,t08,2023-09-28
łódzkie,-,-,8,-,-,0.03,0,0,0,19,0,0,37,8,29,0,t10,2023-09-28
małopolskie,-,-,23,-,-,0.07,0,0,0,44,0,0,91,24,67,0,t12,2023-09-28
mazowieckie,-,-,52,-,-,0.1,0,0,0,57,0,0,425,52,373,0,t14,2023-09-28
opolskie,-,-,6,-,-,0.06,0,0,0,3,0,0,52,6,46,0,t16,2023-09-28
podkarpackie,-,-,9,-,-,0.04,0,0,0,21,0,0,59,9,50,0,t18,2023-09-28
podlaskie,-,-,16,-,-,0.14,0,0,0,16,0,0,40,16,24,0,t20,2023-09-28
pomorskie,-,-,13,-,-,0.06,0,0,0,22,0,0,59,13,46,0,t22,2023-09-28
śląskie,-,-,19,-,-,0.04,0,0,0,31,0,0,92,19,73,0,t24,2023-09-28
świętokrzyskie,-,-,9,-,-,0.07,0,0,0,3,0,0,15,9,6,0,t26,2023-09-28
warmińsko-mazurskie,-,-,6,-,-,0.04,0,0,0,18,0,0,41,6,35,0,t28,2023-09-28
wielkopolskie,-,-,16,-,-,0.05,0,0,0,16,0,0,35,17,18,0,t30,2023-09-28
zachodniopomorskie,-,-,16,-,-,0.09,0,0,0,26,0,0,59,16,43,0,t32,2023-09-28
