wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,Cały kraj,-,-,4432,-,-,1.16,42,8,34,338,5310,135305,25436,5225,19574,637,t0000
dolnośląskie,bolesławiecki,-,-,8,-,-,0.89,0,0,0,0,22,358,27,8,18,1,t0201
dolnośląskie,dzierżoniowski,-,-,1,-,-,0.1,0,0,0,0,3,141,7,1,6,0,t0202
dolnośląskie,głogowski,-,-,2,-,-,0.23,0,0,0,0,10,229,49,2,47,0,t0203
dolnośląskie,górowski,-,-,0,-,-,0.0,0,0,0,0,3,107,17,0,17,0,t0204
dolnośląskie,jaworski,-,-,1,-,-,0.2,0,0,0,0,5,91,9,1,8,0,t0205
dolnośląskie,jeleniogórski,-,-,9,-,-,1.42,0,0,0,0,3,119,29,10,19,0,t0206
dolnośląskie,kamiennogórski,-,-,0,-,-,0.0,0,0,0,0,2,54,13,0,13,0,t0207
dolnośląskie,kłodzki,-,-,6,-,-,0.38,0,0,0,1,9,247,69,10,59,0,t0208
dolnośląskie,legnicki,-,-,0,-,-,0.0,0,0,0,0,2,143,9,0,9,0,t0209
dolnośląskie,lubański,-,-,1,-,-,0.18,0,0,0,0,2,217,7,1,6,0,t0210
dolnośląskie,lubiński,-,-,2,-,-,0.19,0,0,0,0,4,225,46,3,43,0,t0211
dolnośląskie,lwówecki,-,-,3,-,-,0.66,0,0,0,1,4,107,14,3,11,0,t0212
dolnośląskie,milicki,-,-,2,-,-,0.54,0,0,0,0,6,142,10,4,6,0,t0213
dolnośląskie,oleśnicki,-,-,4,-,-,0.37,0,0,0,0,20,316,28,5,21,2,t0214
dolnośląskie,oławski,-,-,3,-,-,0.39,0,0,0,0,2,287,28,5,23,0,t0215
dolnośląskie,polkowicki,-,-,0,-,-,0.0,0,0,0,0,2,119,17,0,17,0,t0216
dolnośląskie,strzeliński,-,-,3,-,-,0.69,0,0,0,0,13,112,12,4,8,0,t0217
dolnośląskie,średzki,-,-,0,-,-,0.0,0,0,0,0,6,156,6,0,5,1,t0218
dolnośląskie,świdnicki,-,-,2,-,-,0.13,0,0,0,0,15,535,24,2,21,1,t0219
dolnośląskie,trzebnicki,-,-,2,-,-,0.23,0,0,0,0,7,216,32,2,30,0,t0220
dolnośląskie,wałbrzyski,-,-,1,-,-,0.18,0,0,0,0,6,168,13,2,11,0,t0221
dolnośląskie,wołowski,-,-,7,-,-,1.5,0,0,0,0,6,167,22,7,15,0,t0222
dolnośląskie,wrocławski,-,-,6,-,-,0.39,0,0,0,1,26,654,46,6,40,0,t0223
dolnośląskie,ząbkowicki,-,-,2,-,-,0.31,0,0,0,0,11,167,21,2,18,1,t0224
dolnośląskie,zgorzelecki,-,-,0,-,-,0.0,0,0,0,0,7,274,5,0,5,0,t0225
dolnośląskie,złotoryjski,-,-,2,-,-,0.46,0,0,0,0,2,182,6,2,4,0,t0226
dolnośląskie,Jelenia Góra,-,-,4,-,-,0.51,0,0,0,0,2,176,28,4,24,0,t0261
dolnośląskie,Legnica,-,-,3,-,-,0.3,0,0,0,0,9,327,22,4,17,1,t0262
dolnośląskie,Wrocław,-,-,38,-,-,0.59,0,0,0,6,68,1861,361,40,313,8,t0264
dolnośląskie,Wałbrzych,-,-,2,-,-,0.18,0,0,0,0,22,277,18,2,16,0,t0265
kujawsko-pomorskie,aleksandrowski,-,-,13,-,-,2.36,0,0,0,1,5,163,37,14,23,0,t0401
kujawsko-pomorskie,brodnicki,-,-,8,-,-,1.01,0,0,0,3,20,406,25,8,16,1,t0402
kujawsko-pomorskie,bydgoski,-,-,31,-,-,2.6,0,0,0,10,53,1021,85,32,52,1,t0403
kujawsko-pomorskie,chełmiński,-,-,6,-,-,1.16,0,0,0,5,6,375,53,21,31,1,t0404
kujawsko-pomorskie,golubsko-dobrzyński,-,-,5,-,-,1.11,0,0,0,0,5,144,30,5,25,0,t0405
kujawsko-pomorskie,grudziądzki,-,-,4,-,-,0.99,0,0,0,1,5,339,21,5,16,0,t0406
