wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,-,-,17156,-,-,4.47,616,134,482,26839,19225,397998,97860,18824,77718,1318,t0000,2021-12-22
dolnośląskie,bolesławiecki,-,-,33,-,-,3.67,1,0,1,71,72,915,196,38,157,1,t0201,2021-12-22
dolnośląskie,dzierżoniowski,-,-,19,-,-,1.89,1,0,1,62,41,807,116,21,95,0,t0202,2021-12-22
dolnośląskie,głogowski,-,-,41,-,-,4.61,4,0,4,40,33,778,182,41,138,3,t0203,2021-12-22
dolnośląskie,górowski,-,-,6,-,-,1.73,2,2,0,31,23,378,63,6,56,1,t0204,2021-12-22
dolnośląskie,jaworski,-,-,44,-,-,8.81,1,1,0,25,16,542,131,47,83,1,t0205,2021-12-22
dolnośląskie,jeleniogórski,-,-,21,-,-,3.31,1,0,1,27,21,432,101,23,75,3,t0206,2021-12-22
dolnośląskie,kamiennogórski,-,-,12,-,-,2.79,1,1,0,9,5,221,78,12,65,1,t0207,2021-12-22
dolnośląskie,kłodzki,-,-,78,-,-,4.96,2,0,2,73,28,1437,299,91,206,2,t0208,2021-12-22
dolnośląskie,legnicki,-,-,32,-,-,5.8,1,1,0,39,26,751,136,34,99,3,t0209,2021-12-22
dolnośląskie,lubański,-,-,42,-,-,7.77,2,2,0,39,16,400,128,46,78,4,t0210,2021-12-22
dolnośląskie,lubiński,-,-,40,-,-,3.77,5,0,5,84,30,1025,168,41,127,0,t0211,2021-12-22
dolnośląskie,lwówecki,-,-,12,-,-,2.62,0,0,0,36,17,248,95,15,79,1,t0212,2021-12-22
dolnośląskie,milicki,-,-,28,-,-,7.59,1,1,0,22,36,718,75,28,46,1,t0213,2021-12-22
dolnośląskie,oleśnicki,-,-,55,-,-,5.12,0,0,0,83,65,1176,217,58,154,5,t0214,2021-12-22
dolnośląskie,oławski,-,-,66,-,-,8.59,0,0,0,53,40,1107,235,71,160,4,t0215,2021-12-22
dolnośląskie,polkowicki,-,-,32,-,-,5.07,0,0,0,48,16,742,149,33,114,2,t0216,2021-12-22
dolnośląskie,strzeliński,-,-,18,-,-,4.14,0,0,0,21,40,532,88,21,67,0,t0217,2021-12-22
dolnośląskie,średzki,-,-,17,-,-,3.07,0,0,0,47,21,894,86,18,67,1,t0218,2021-12-22
dolnośląskie,świdnicki,-,-,75,-,-,4.79,6,1,5,67,54,1522,327,79,244,4,t0219,2021-12-22
dolnośląskie,trzebnicki,-,-,46,-,-,5.39,0,0,0,70,41,902,173,51,120,2,t0220,2021-12-22
dolnośląskie,wałbrzyski,-,-,21,-,-,3.79,0,0,0,32,29,466,82,22,60,0,t0221,2021-12-22
dolnośląskie,wołowski,-,-,42,-,-,8.99,0,0,0,25,31,528,155,44,110,1,t0222,2021-12-22
dolnośląskie,wrocławski,-,-,107,-,-,6.95,1,1,0,157,143,2237,520,118,398,4,t0223,2021-12-22
dolnośląskie,ząbkowicki,-,-,31,-,-,4.81,2,0,2,33,14,490,97,36,51,10,t0224,2021-12-22
dolnośląskie,zgorzelecki,-,-,50,-,-,5.63,1,1,0,62,31,1135,163,55,104,4,t0225,2021-12-22
dolnośląskie,złotoryjski,-,-,17,-,-,3.93,1,1,0,20,13,404,86,17,66,3,t0226,2021-12-22
dolnośląskie,Jelenia Góra,-,-,43,-,-,5.46,2,1,1,40,40,579,222,46,176,0,t0261,2021-12-22
dolnośląskie,Legnica,-,-,66,-,-,6.66,2,2,0,63,71,1348,234,69,163,2,t0262,2021-12-22
dolnośląskie,Wrocław,-,-,477,-,-,7.41,4,3,1,525,552,6772,2430,529,1882,19,t0264,2021-12-22
dolnośląskie,Wałbrzych,-,-,50,-,-,4.52,0,0,0,56,30,786,191,51,137,3,t0265,2021-12-22
kujawsko-pomorskie,aleksandrowski,-,-,17,-,-,3.09,1,0,1,21,18,357,78,18,54,6,t0401,2021-12-22
kujawsko-pomorskie,brodnicki,-,-,29,-,-,3.66,0,0,0,52,36,641,123,30,93,0,t0402,2021-12-22
