wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,-,-,524,-,-,0.14,0,0,0,997,0,0,2604,550,2050,4,t0000,2024-11-04
dolnośląskie,bolesławiecki,-,-,0,-,-,0.0,0,0,0,0,0,0,8,0,8,0,t0201,2024-11-04
dolnośląskie,dzierżoniowski,-,-,2,-,-,0.2,0,0,0,0,0,0,12,2,10,0,t0202,2024-11-04
dolnośląskie,głogowski,-,-,0,-,-,0.0,0,0,0,0,0,0,3,0,3,0,t0203,2024-11-04
dolnośląskie,górowski,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t0204,2024-11-04
dolnośląskie,jaworski,-,-,2,-,-,0.4,0,0,0,0,0,0,2,2,0,0,t0205,2024-11-04
dolnośląskie,jeleniogórski,-,-,4,-,-,0.63,0,0,0,4,0,0,12,4,8,0,t0206,2024-11-04
dolnośląskie,kamiennogórski,-,-,0,-,-,0.0,0,0,0,1,0,0,1,0,1,0,t0207,2024-11-04
dolnośląskie,kłodzki,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0208,2024-11-04
dolnośląskie,legnicki,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t0209,2024-11-04
dolnośląskie,lubański,-,-,0,-,-,0.0,0,0,0,1,0,0,1,0,1,0,t0210,2024-11-04
dolnośląskie,lubiński,-,-,1,-,-,0.09,0,0,0,0,0,0,1,1,0,0,t0211,2024-11-04
dolnośląskie,lwówecki,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0212,2024-11-04
dolnośląskie,milicki,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0213,2024-11-04
dolnośląskie,oleśnicki,-,-,0,-,-,0.0,0,0,0,1,0,0,2,0,2,0,t0214,2024-11-04
dolnośląskie,oławski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0215,2024-11-04
dolnośląskie,polkowicki,-,-,0,-,-,0.0,0,0,0,7,0,0,0,0,0,0,t0216,2024-11-04
dolnośląskie,strzeliński,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0217,2024-11-04
dolnośląskie,średzki,-,-,2,-,-,0.36,0,0,0,3,0,0,4,2,2,0,t0218,2024-11-04
dolnośląskie,świdnicki,-,-,1,-,-,0.06,0,0,0,2,0,0,4,1,3,0,t0219,2024-11-04
dolnośląskie,trzebnicki,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0220,2024-11-04
dolnośląskie,wałbrzyski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0221,2024-11-04
dolnośląskie,wołowski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0222,2024-11-04
