wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,Cały kraj,-,-,13114,-,-,3.42,552.0,190.0,362.0,15080,8002.0,188151,55581,14543,39730,1308,t0000
dolnośląskie,bolesławiecki,-,-,36,-,-,4.0,2.0,2.0,,54,25.0,408,129,41,83,5,t0201
dolnośląskie,dzierżoniowski,-,-,8,-,-,0.8,1.0,1.0,,17,12.0,230,49,8,41,0,t0202
dolnośląskie,głogowski,-,-,11,-,-,1.24,1.0,,1.0,16,13.0,291,92,12,79,1,t0203
dolnośląskie,górowski,-,-,4,-,-,1.15,,,,12,4.0,107,18,4,14,0,t0204
dolnośląskie,jaworski,-,-,14,-,-,2.8,2.0,2.0,,13,9.0,147,47,16,29,2,t0205
dolnośląskie,jeleniogórski,-,-,29,-,-,4.57,,,,11,9.0,218,77,33,43,1,t0206
dolnośląskie,kamiennogórski,-,-,11,-,-,2.55,,,,6,5.0,139,28,11,17,0,t0207
dolnośląskie,kłodzki,-,-,23,-,-,1.46,,,,15,24.0,390,118,29,88,1,t0208
dolnośląskie,legnicki,-,-,8,-,-,1.45,4.0,4.0,,11,11.0,170,36,9,25,2,t0209
dolnośląskie,lubański,-,-,13,-,-,2.4,1.0,1.0,,16,19.0,328,36,14,21,1,t0210
dolnośląskie,lubiński,-,-,34,-,-,3.2,3.0,,3.0,28,19.0,401,118,34,82,2,t0211
dolnośląskie,lwówecki,-,-,11,-,-,2.4,,,,13,4.0,186,34,11,23,0,t0212
dolnośląskie,milicki,-,-,9,-,-,2.44,,,,8,1.0,151,31,10,21,0,t0213
dolnośląskie,oleśnicki,-,-,28,-,-,2.61,,,,33,13.0,456,126,40,85,1,t0214
dolnośląskie,oławski,-,-,16,-,-,2.08,,,,19,14.0,410,92,32,60,0,t0215
dolnośląskie,polkowicki,-,-,8,-,-,1.27,,,,12,11.0,166,35,9,26,0,t0216
dolnośląskie,strzeliński,-,-,13,-,-,2.99,,,,18,8.0,152,33,13,20,0,t0217
dolnośląskie,średzki,-,-,9,-,-,1.63,,,,15,6.0,253,42,9,32,1,t0218
dolnośląskie,świdnicki,-,-,36,-,-,2.3,1.0,,1.0,47,26.0,838,134,45,84,5,t0219
dolnośląskie,trzebnicki,-,-,17,-,-,1.99,1.0,,1.0,19,15.0,386,58,17,38,3,t0220
dolnośląskie,wałbrzyski,-,-,17,-,-,3.07,,,,24,9.0,349,72,18,54,0,t0221
dolnośląskie,wołowski,-,-,16,-,-,3.42,,,,22,5.0,246,44,18,26,0,t0222
dolnośląskie,wrocławski,-,-,47,-,-,3.05,1.0,1.0,,63,31.0,843,222,55,165,2,t0223
dolnośląskie,ząbkowicki,-,-,16,-,-,2.48,,,,13,18.0,211,51,18,30,3,t0224
dolnośląskie,zgorzelecki,-,-,30,-,-,3.38,,,,16,16.0,494,63,31,28,4,t0225
dolnośląskie,złotoryjski,-,-,9,-,-,2.08,,,,10,8.0,279,33,10,22,1,t0226
dolnośląskie,Jelenia Góra,-,-,20,-,-,2.54,5.0,3.0,2.0,23,9.0,295,92,22,69,1,t0261
dolnośląskie,Legnica,-,-,16,-,-,1.61,3.0,3.0,,43,19.0,480,102,18,79,5,t0262
dolnośląskie,Wrocław,-,-,216,-,-,3.36,,,,217,170.0,2598,1222,252,954,16,t0264
dolnośląskie,Wałbrzych,-,-,17,-,-,1.54,1.0,1.0,,18,16.0,403,145,21,123,1,t0265
kujawsko-pomorskie,aleksandrowski,-,-,23,-,-,4.18,,,,26,17.0,226,127,41,76,10,t0401
kujawsko-pomorskie,brodnicki,-,-,20,-,-,2.53,2.0,,2.0,30,7.0,503,118,25,89,4,t0402
kujawsko-pomorskie,bydgoski,-,-,88,-,-,7.37,,,,129,85.0,1357,336,91,231,14,t0403
kujawsko-pomorskie,chełmiński,-,-,41,-,-,7.91,1.0,,1.0,50,16.0,480,134,44,86,4,t0404
kujawsko-pomorskie,golubsko-dobrzyński,-,-,4,-,-,0.89,1.0,,1.0,11,6.0,246,35,4,29,2,t0405
kujawsko-pomorskie,grudziądzki,-,-,37,-,-,9.2,,,,21,33.0,407,114,41,69,4,t0406
kujawsko-pomorskie,inowrocławski,-,-,133,-,-,8.35,8.0,1.0,7.0,90,26.0,1082,303,138,157,8,t0407
kujawsko-pomorskie,lipnowski,-,-,15,-,-,2.29,,,,16,19.0,416,81,18,59,4,t0408
kujawsko-pomorskie,mogileński,-,-,21,-,-,4.61,,,,12,8.0,233,62,22,39,1,t0409
kujawsko-pomorskie,nakielski,-,-,18,-,-,2.09,1.0,,1.0,61,58.0,852,126,21,101,4,t0410
kujawsko-pomorskie,radziejowski,-,-,15,-,-,3.73,,,,16,12.0,213,40,15,23,2,t0411
kujawsko-pomorskie,rypiński,-,-,6,-,-,1.38,2.0,,2.0,13,4.0,179,46,6,37,3,t0412
kujawsko-pomorskie,sępoleński,-,-,28,-,-,6.84,4.0,,4.0,27,20.0,367,98,35,62,1,t0413
kujawsko-pomorskie,świecki,-,-,54,-,-,5.46,1.0,,1.0,51,22.0,921,154,56,94,4,t0414
kujawsko-pomorskie,toruński,-,-,91,-,-,8.35,,,,86,35.0,1155,244,92,143,9,t0415
kujawsko-pomorskie,tucholski,-,-,29,-,-,6.0,2.0,1.0,1.0,26,16.0,444,69,31,36,2,t0416
kujawsko-pomorskie,wąbrzeski,-,-,11,-,-,3.22,,,,14,19.0,215,31,12,19,0,t0417
kujawsko-pomorskie,włocławski,-,-,28,-,-,3.26,3.0,,3.0,39,18.0,502,61,28,31,2,t0418
kujawsko-pomorskie,żniński,-,-,42,-,-,5.99,2.0,,2.0,38,34.0,540,112,44,67,1,t0419
kujawsko-pomorskie,Bydgoszcz,-,-,311,-,-,8.97,,,,330,192.0,3087,1137,326,772,39,t0461
kujawsko-pomorskie,Grudziądz,-,-,86,-,-,9.14,1.0,,1.0,81,85.0,867,418,94,318,6,t0462
kujawsko-pomorskie,Toruń,-,-,178,-,-,8.85,6.0,,6.0,179,84.0,1603,712,181,514,17,t0463
kujawsko-pomorskie,Włocławek,-,-,33,-,-,3.02,4.0,,4.0,60,32.0,683,91,34,54,3,t0464
lubelskie,bialski,-,-,24,-,-,2.17,2.0,2.0,,26,26.0,409,90,26,59,5,t0601
lubelskie,biłgorajski,-,-,7,-,-,0.7,5.0,,5.0,12,10.0,156,43,8,35,0,t0602
lubelskie,chełmski,-,-,28,-,-,3.6,,,,23,9.0,421,90,32,56,2,t0603
lubelskie,hrubieszowski,-,-,24,-,-,3.84,1.0,1.0,,22,8.0,303,94,27,65,2,t0604
lubelskie,janowski,-,-,7,-,-,1.54,3.0,,3.0,7,4.0,82,27,7,20,0,t0605
lubelskie,krasnostawski,-,-,28,-,-,4.45,3.0,3.0,,39,11.0,503,91,28,62,1,t0606
lubelskie,kraśnicki,-,-,23,-,-,2.42,5.0,3.0,2.0,27,26.0,353,73,24,47,2,t0607
lubelskie,lubartowski,-,-,17,-,-,1.93,4.0,4.0,,30,11.0,421,96,20,76,0,t0608
lubelskie,lubelski,-,-,29,-,-,1.86,5.0,2.0,3.0,67,71.0,826,166,31,133,2,t0609
lubelskie,łęczyński,-,-,20,-,-,3.49,2.0,1.0,1.0,34,11.0,400,71,23,46,2,t0610
lubelskie,łukowski,-,-,4,-,-,0.38,2.0,,2.0,18,2.0,210,29,4,25,0,t0611
lubelskie,opolski,-,-,22,-,-,3.73,,,,29,6.0,299,50,24,26,0,t0612
lubelskie,parczewski,-,-,1,-,-,0.29,3.0,,3.0,3,3.0,118,9,2,7,0,t0613
lubelskie,puławski,-,-,34,-,-,3.01,2.0,2.0,,67,17.0,632,119,35,81,3,t0614
lubelskie,radzyński,-,-,16,-,-,2.73,,,,14,7.0,167,46,21,24,1,t0615
lubelskie,rycki,-,-,17,-,-,3.04,,,,19,5.0,190,49,17,31,1,t0616
lubelskie,świdnicki,-,-,50,-,-,6.97,6.0,6.0,,57,35.0,598,124,54,69,1,t0617
lubelskie,tomaszowski,-,-,16,-,-,1.94,1.0,1.0,,15,14.0,212,52,17,33,2,t0618
lubelskie,włodawski,-,-,19,-,-,4.97,1.0,,1.0,13,11.0,193,54,23,29,2,t0619
lubelskie,zamojski,-,-,18,-,-,1.7,3.0,,3.0,10,12.0,227,94,20,73,1,t0620
lubelskie,Biała Podlaska,-,-,25,-,-,4.37,1.0,,1.0,22,6.0,233,69,28,39,2,t0661
lubelskie,Chełm,-,-,41,-,-,6.66,,,,38,18.0,438,112,42,62,8,t0662
lubelskie,Lublin,-,-,106,-,-,3.12,18.0,18.0,,180,147.0,1741,555,113,433,9,t0663
lubelskie,Zamość,-,-,21,-,-,3.32,5.0,1.0,4.0,14,7.0,188,79,21,57,1,t0664
lubuskie,gorzowski,-,-,34,-,-,4.72,1.0,1.0,,26,28.0,422,78,35,40,3,t0801
lubuskie,krośnieński,-,-,37,-,-,6.76,,,,18,6.0,504,71,38,29,4,t0802
lubuskie,międzyrzecki,-,-,20,-,-,3.49,,,,25,12.0,345,110,23,86,1,t0803
lubuskie,nowosolski,-,-,22,-,-,2.56,,,,21,8.0,293,80,25,55,0,t0804
lubuskie,słubicki,-,-,34,-,-,7.25,,,,28,11.0,486,79,39,37,3,t0805
lubuskie,strzelecko-drezdenecki,-,-,6,-,-,1.23,,,,20,9.0,229,51,6,44,1,t0806
lubuskie,sulęciński,-,-,27,-,-,7.69,1.0,1.0,,27,1.0,336,95,39,51,5,t0807
lubuskie,świebodziński,-,-,26,-,-,4.67,1.0,,1.0,21,,395,116,28,84,4,t0808
lubuskie,zielonogórski,-,-,16,-,-,2.12,,,,37,17.0,512,66,19,46,1,t0809
lubuskie,żagański,-,-,31,-,-,3.94,1.0,1.0,,13,17.0,289,83,32,47,4,t0810
lubuskie,żarski,-,-,41,-,-,4.28,,,,27,27.0,413,111,47,59,5,t0811
lubuskie,wschowski,-,-,6,-,-,1.55,,,,12,4.0,173,27,6,20,1,t0812
lubuskie,Gorzów Wielkopolski,-,-,48,-,-,3.89,2.0,2.0,,49,74.0,632,127,54,65,8,t0861
lubuskie,Zielona Góra,-,-,51,-,-,3.61,1.0,,1.0,70,31.0,833,210,57,151,2,t0862
łódzkie,bełchatowski,-,-,17,-,-,1.51,1.0,,1.0,28,25.0,353,110,34,74,2,t1001
łódzkie,kutnowski,-,-,44,-,-,4.58,,,,37,15.0,500,111,46,63,2,t1002
łódzkie,łaski,-,-,12,-,-,2.41,5.0,4.0,1.0,12,14.0,175,48,12,36,0,t1003
łódzkie,łęczycki,-,-,16,-,-,3.23,,,,18,9.0,352,65,18,46,1,t1004
łódzkie,łowicki,-,-,40,-,-,5.14,,,,13,23.0,333,114,41,72,1,t1005
łódzkie,łódzki wschodni,-,-,42,-,-,5.8,2.0,,2.0,37,24.0,393,132,44,84,4,t1006
łódzkie,opoczyński,-,-,7,-,-,0.92,,,,7,4.0,109,30,10,17,3,t1007
