wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
kujawsko-pomorskie,wąbrzeski,-,-,18,-,-,5.28,1,1,0,12,10,186,53,18,35,0,t0417,2021-01-29
kujawsko-pomorskie,włocławski,-,-,10,-,-,1.16,0,0,0,19,10,306,70,11,57,2,t0418,2021-01-29
kujawsko-pomorskie,żniński,-,-,17,-,-,2.43,2,0,2,30,32,490,76,20,55,1,t0419,2021-01-29
kujawsko-pomorskie,Bydgoszcz,-,-,127,-,-,3.66,5,0,5,203,193,2584,610,147,445,18,t0461,2021-01-29
kujawsko-pomorskie,Grudziądz,-,-,26,-,-,2.76,1,0,1,65,35,655,241,30,211,0,t0462,2021-01-29
kujawsko-pomorskie,Toruń,-,-,39,-,-,1.94,2,0,2,99,100,1161,410,51,353,6,t0463,2021-01-29
kujawsko-pomorskie,Włocławek,-,-,19,-,-,1.74,0,0,0,30,12,386,136,21,114,1,t0464,2021-01-29
lubelskie,bialski,-,-,16,-,-,1.45,0,0,0,17,17,313,112,17,95,0,t0601,2021-01-29
lubelskie,biłgorajski,-,-,13,-,-,1.29,1,0,1,22,13,350,83,14,66,3,t0602,2021-01-29
lubelskie,chełmski,-,-,11,-,-,1.41,1,0,1,12,23,287,64,11,52,1,t0603,2021-01-29
lubelskie,hrubieszowski,-,-,6,-,-,0.96,0,0,0,12,3,159,64,7,56,1,t0604,2021-01-29
lubelskie,janowski,-,-,2,-,-,0.44,0,0,0,12,4,76,36,2,33,1,t0605,2021-01-29
lubelskie,krasnostawski,-,-,20,-,-,3.18,0,0,0,19,17,236,78,22,54,2,t0606,2021-01-29
lubelskie,kraśnicki,-,-,19,-,-,2.0,0,0,0,22,14,230,88,21,67,0,t0607,2021-01-29
lubelskie,lubartowski,-,-,8,-,-,0.91,0,0,0,24,7,222,63,8,55,0,t0608,2021-01-29
lubelskie,lubelski,-,-,26,-,-,1.67,0,0,0,52,20,604,169,27,142,0,t0609,2021-01-29
lubelskie,łęczyński,-,-,9,-,-,1.57,0,0,0,19,16,265,62,9,52,1,t0610,2021-01-29
lubelskie,łukowski,-,-,11,-,-,1.03,1,0,1,15,7,236,91,25,65,1,t0611,2021-01-29
lubelskie,opolski,-,-,3,-,-,0.51,3,1,2,10,12,231,55,3,52,0,t0612,2021-01-29
lubelskie,parczewski,-,-,2,-,-,0.58,1,0,1,5,4,55,17,3,14,0,t0613,2021-01-29
lubelskie,puławski,-,-,13,-,-,1.15,2,0,2,35,26,476,127,15,112,0,t0614,2021-01-29
lubelskie,radzyński,-,-,6,-,-,1.02,1,0,1,7,9,118,78,7,71,0,t0615,2021-01-29
lubelskie,rycki,-,-,8,-,-,1.43,0,0,0,12,5,257,42,8,34,0,t0616,2021-01-29
lubelskie,świdnicki,-,-,12,-,-,1.67,0,0,0,24,12,294,75,13,60,2,t0617,2021-01-29
lubelskie,tomaszowski,-,-,20,-,-,2.43,2,0,2,36,11,419,86,21,63,2,t0618,2021-01-29
lubelskie,włodawski,-,-,13,-,-,3.4,0,0,0,12,20,280,50,13,34,3,t0619,2021-01-29
lubelskie,zamojski,-,-,7,-,-,0.66,2,0,2,8,9,173,76,7,67,2,t0620,2021-01-29
lubelskie,Biała Podlaska,-,-,7,-,-,1.22,1,0,1,20,22,215,59,10,49,0,t0661,2021-01-29
lubelskie,Chełm,-,-,12,-,-,1.95,2,0,2,14,13,247,56,12,43,1,t0662,2021-01-29
lubelskie,Lublin,-,-,69,-,-,2.03,1,0,1,123,84,1530,413,75,330,8,t0663,2021-01-29
lubelskie,Zamość,-,-,5,-,-,0.79,1,0,1,17,11,192,71,7,64,0,t0664,2021-01-29
lubuskie,gorzowski,-,-,9,-,-,1.25,0,0,0,16,21,376,62,10,52,0,t0801,2021-01-29
lubuskie,krośnieński,-,-,7,-,-,1.28,0,0,0,13,13,284,55,7,48,0,t0802,2021-01-29
lubuskie,międzyrzecki,-,-,14,-,-,2.44,0,0,0,18,14,398,68,14,52,2,t0803,2021-01-29
