wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
kujawsko-pomorskie,Włocławek,-,-,34,-,-,3.11,9,0,9,29,47,543,170,39,129,2,t0464
lubelskie,bialski,-,-,12,-,-,1.09,1,1,0,17,32,364,144,16,128,0,t0601
lubelskie,biłgorajski,-,-,2,-,-,0.2,0,0,0,14,36,249,151,7,140,4,t0602
lubelskie,chełmski,-,-,12,-,-,1.54,1,0,1,24,9,355,108,12,94,2,t0603
lubelskie,hrubieszowski,-,-,15,-,-,2.4,0,0,0,13,18,216,145,16,124,5,t0604
lubelskie,janowski,-,-,2,-,-,0.44,1,0,1,3,12,101,57,2,55,0,t0605
lubelskie,krasnostawski,-,-,17,-,-,2.7,0,0,0,20,31,383,136,23,113,0,t0606
lubelskie,kraśnicki,-,-,18,-,-,1.89,5,2,3,27,28,298,145,20,125,0,t0607
lubelskie,lubartowski,-,-,10,-,-,1.13,1,1,0,18,8,184,110,11,98,1,t0608
lubelskie,lubelski,-,-,38,-,-,2.44,1,1,0,51,54,686,272,40,231,1,t0609
lubelskie,łęczyński,-,-,20,-,-,3.49,0,0,0,16,29,249,112,20,85,7,t0610
lubelskie,łukowski,-,-,7,-,-,0.66,1,0,1,21,7,240,151,7,144,0,t0611
lubelskie,opolski,-,-,9,-,-,1.53,1,0,1,20,21,245,70,12,57,1,t0612
lubelskie,parczewski,-,-,3,-,-,0.87,2,0,2,7,1,101,68,3,65,0,t0613
lubelskie,puławski,-,-,39,-,-,3.46,2,0,2,50,61,557,208,42,145,21,t0614
lubelskie,radzyński,-,-,8,-,-,1.37,1,0,1,3,9,140,107,8,99,0,t0615
lubelskie,rycki,-,-,10,-,-,1.79,1,1,0,18,22,279,69,10,57,2,t0616
lubelskie,świdnicki,-,-,9,-,-,1.25,1,1,0,28,34,289,100,9,91,0,t0617
lubelskie,tomaszowski,-,-,9,-,-,1.09,0,0,0,20,23,289,115,11,102,2,t0618
lubelskie,włodawski,-,-,20,-,-,5.23,2,1,1,19,30,282,110,20,90,0,t0619
lubelskie,zamojski,-,-,1,-,-,0.09,0,0,0,13,22,209,159,4,155,0,t0620
lubelskie,Biała Podlaska,-,-,7,-,-,1.22,0,0,0,20,18,203,84,9,75,0,t0661
lubelskie,Chełm,-,-,10,-,-,1.62,0,0,0,17,20,228,82,11,70,1,t0662
lubelskie,Lublin,-,-,67,-,-,1.97,4,0,4,133,132,1625,582,75,491,16,t0663
lubelskie,Zamość,-,-,9,-,-,1.42,0,0,0,18,19,148,104,10,93,1,t0664
lubuskie,gorzowski,-,-,21,-,-,2.91,1,1,0,20,31,489,82,21,61,0,t0801
lubuskie,krośnieński,-,-,8,-,-,1.46,2,1,1,20,15,420,316,8,306,2,t0802
lubuskie,międzyrzecki,-,-,21,-,-,3.66,0,0,0,14,9,322,80,22,56,2,t0803
lubuskie,nowosolski,-,-,11,-,-,1.28,0,0,0,22,12,399,86,29,57,0,t0804
lubuskie,słubicki,-,-,6,-,-,1.28,0,0,0,12,25,338,46,9,37,0,t0805
lubuskie,strzelecko-drezdenecki,-,-,14,-,-,2.87,1,0,1,20,7,312,97,20,75,2,t0806
lubuskie,sulęciński,-,-,18,-,-,5.13,1,1,0,20,9,300,93,31,60,2,t0807
lubuskie,świebodziński,-,-,10,-,-,1.8,1,1,0,26,18,411,68,11,56,1,t0808
lubuskie,zielonogórski,-,-,13,-,-,1.72,5,0,5,19,27,422,108,17,91,0,t0809
lubuskie,żagański,-,-,7,-,-,0.89,2,2,0,22,9,202,70,7,63,0,t0810
lubuskie,żarski,-,-,9,-,-,0.94,3,0,3,31,33,453,90,10,80,0,t0811
lubuskie,wschowski,-,-,6,-,-,1.55,0,0,0,6,3,126,156,6,150,0,t0812
lubuskie,Gorzów Wielkopolski,-,-,50,-,-,4.05,4,3,1,37,79,667,178,53,124,1,t0861
lubuskie,Zielona Góra,-,-,23,-,-,1.63,6,0,6,54,38,830,324,28,290,6,t0862
łódzkie,bełchatowski,-,-,14,-,-,1.24,0,0,0,13,20,384,160,14,145,1,t1001
łódzkie,kutnowski,-,-,23,-,-,2.39,0,0,0,33,22,437,183,26,155,2,t1002
łódzkie,łaski,-,-,9,-,-,1.81,1,1,0,12,3,154,127,9,118,0,t1003
łódzkie,łęczycki,-,-,11,-,-,2.22,1,1,0,15,11,295,116,11,101,4,t1004
łódzkie,łowicki,-,-,0,-,-,0.0,0,0,0,22,19,299,59,1,58,0,t1005
łódzkie,łódzki wschodni,-,-,30,-,-,4.14,0,0,0,34,31,548,152,31,121,0,t1006
łódzkie,opoczyński,-,-,5,-,-,0.66,1,1,0,11,5,146,78,5,72,1,t1007
łódzkie,pabianicki,-,-,28,-,-,2.35,2,0,2,58,56,586,234,29,205,0,t1008
łódzkie,pajęczański,-,-,6,-,-,1.17,0,0,0,10,3,155,56,8,47,1,t1009
łódzkie,piotrkowski,-,-,20,-,-,2.19,2,2,0,16,22,297,316,20,295,1,t1010
łódzkie,poddębicki,-,-,6,-,-,1.46,0,0,0,5,18,190,68,6,60,2,t1011
łódzkie,radomszczański,-,-,12,-,-,1.07,3,0,3,21,18,376,167,15,148,4,t1012
łódzkie,rawski,-,-,6,-,-,1.24,0,0,0,5,8,232,137,6,130,1,t1013
łódzkie,sieradzki,-,-,21,-,-,1.79,4,0,4,24,28,408,186,21,160,5,t1014
łódzkie,skierniewicki,-,-,12,-,-,3.14,2,2,0,17,15,277,81,13,67,1,t1015
łódzkie,tomaszowski,-,-,18,-,-,1.55,0,0,0,20,36,453,202,19,181,2,t1016
łódzkie,wieluński,-,-,7,-,-,0.92,0,0,0,10,12,207,105,7,97,1,t1017
łódzkie,wieruszowski,-,-,2,-,-,0.48,1,0,1,8,4,141,47,2,44,1,t1018
łódzkie,zduńskowolski,-,-,8,-,-,1.21,0,0,0,15,22,275,124,8,116,0,t1019
łódzkie,zgierski,-,-,32,-,-,1.93,5,0,5,68,78,985,357,39,316,2,t1020
łódzkie,brzeziński,-,-,10,-,-,3.25,0,0,0,5,16,121,70,10,59,1,t1021
łódzkie,Łódź,-,-,185,-,-,2.73,14,0,14,262,333,4369,1523,204,1288,31,t1061
łódzkie,Piotrków Trybunalski,-,-,20,-,-,2.75,1,1,0,20,24,291,213,21,192,0,t1062
łódzkie,Skierniewice,-,-,10,-,-,2.09,0,0,0,20,10,257,94,10,84,0,t1063
małopolskie,bocheński,-,-,7,-,-,0.65,0,0,0,8,23,226,146,7,138,1,t1201
małopolskie,brzeski,-,-,5,-,-,0.54,0,0,0,6,8,168,211,6,205,0,t1202
małopolskie,chrzanowski,-,-,10,-,-,0.81,1,0,1,26,19,298,214,11,203,0,t1203
małopolskie,dąbrowski,-,-,3,-,-,0.51,1,0,1,3,10,102,40,3,37,0,t1204
małopolskie,gorlicki,-,-,8,-,-,0.74,1,1,0,12,14,169,130,9,111,10,t1205
małopolskie,krakowski,-,-,27,-,-,0.96,0,0,0,44,52,917,271,29,240,2,t1206
małopolskie,limanowski,-,-,8,-,-,0.61,0,0,0,6,16,206,128,8,109,11,t1207
małopolskie,miechowski,-,-,8,-,-,1.64,1,1,0,4,8,102,81,11,68,2,t1208
małopolskie,myślenicki,-,-,11,-,-,0.86,0,0,0,18,14,344,251,13,236,2,t1209
małopolskie,nowosądecki,-,-,22,-,-,1.01,2,0,2,7,16,286,522,23,490,9,t1210
małopolskie,nowotarski,-,-,14,-,-,0.73,1,0,1,6,10,191,107,14,91,2,t1211
małopolskie,olkuski,-,-,5,-,-,0.45,0,0,0,16,9,199,112,6,106,0,t1212
małopolskie,oświęcimski,-,-,6,-,-,0.39,3,0,3,28,43,499,80,6,72,2,t1213
małopolskie,proszowicki,-,-,1,-,-,0.23,0,0,0,2,4,89,27,1,25,1,t1214
małopolskie,suski,-,-,32,-,-,3.8,0,0,0,8,4,219,135,32,101,2,t1215
małopolskie,tarnowski,-,-,12,-,-,0.6,2,2,0,13,16,340,150,12,138,0,t1216
małopolskie,tatrzański,-,-,4,-,-,0.59,0,0,0,5,16,96,67,4,63,0,t1217
małopolskie,wadowicki,-,-,19,-,-,1.19,1,0,1,23,30,385,275,20,255,0,t1218
małopolskie,wielicki,-,-,1,-,-,0.08,0,0,0,21,14,454,65,1,63,1,t1219
małopolskie,Kraków,-,-,100,-,-,1.28,3,2,1,182,170,3498,1017,106,905,6,t1261
małopolskie,Nowy Sącz,-,-,11,-,-,1.31,0,0,0,7,10,113,187,14,167,6,t1262
małopolskie,Tarnów,-,-,7,-,-,0.65,0,0,0,14,12,211,93,7,84,2,t1263
mazowieckie,białobrzeski,-,-,6,-,-,1.8,0,0,0,5,13,211,75,7,67,1,t1401
mazowieckie,ciechanowski,-,-,11,-,-,1.23,1,0,1,22,27,330,200,11,187,2,t1402
mazowieckie,garwoliński,-,-,11,-,-,1.01,0,0,0,23,11,298,273,11,261,1,t1403
mazowieckie,gostyniński,-,-,6,-,-,1.34,0,0,0,9,7,149,88,6,81,1,t1404
mazowieckie,grodziski,-,-,29,-,-,3.0,0,0,0,46,44,799,182,35,145,2,t1405
mazowieckie,grójecki,-,-,21,-,-,2.14,0,0,0,47,36,1429,227,27,193,7,t1406
mazowieckie,kozienicki,-,-,15,-,-,2.51,1,0,1,29,31,403,135,18,117,0,t1407
mazowieckie,legionowski,-,-,23,-,-,1.93,1,0,1,37,66,802,220,25,192,3,t1408
mazowieckie,lipski,-,-,8,-,-,2.37,0,0,0,7,6,140,121,8,110,3,t1409
mazowieckie,łosicki,-,-,2,-,-,0.65,0,0,0,6,3,84,14,3,11,0,t1410
mazowieckie,makowski,-,-,0,-,-,0.0,1,0,1,12,5,188,97,1,96,0,t1411
mazowieckie,miński,-,-,23,-,-,1.48,1,1,0,48,32,680,337,23,305,9,t1412
mazowieckie,mławski,-,-,12,-,-,1.66,2,0,2,31,16,441,181,15,164,2,t1413
mazowieckie,nowodworski,-,-,12,-,-,1.51,0,0,0,17,63,546,152,13,139,0,t1414
mazowieckie,ostrołęcki,-,-,3,-,-,0.34,2,0,2,18,15,254,122,12,109,1,t1415
mazowieckie,ostrowski,-,-,7,-,-,0.97,0,0,0,12,24,249,181,9,171,1,t1416
mazowieckie,otwocki,-,-,34,-,-,2.73,0,0,0,56,22,891,410,38,364,8,t1417
mazowieckie,piaseczyński,-,-,51,-,-,2.69,1,0,1,97,88,1723,477,51,417,9,t1418
mazowieckie,płocki,-,-,12,-,-,1.08,0,0,0,46,52,483,258,16,238,4,t1419
mazowieckie,płoński,-,-,17,-,-,1.96,0,0,0,20,15,427,142,17,123,2,t1420
mazowieckie,pruszkowski,-,-,33,-,-,1.98,5,2,3,87,74,1549,395,38,352,5,t1421
mazowieckie,przasnyski,-,-,4,-,-,0.76,2,1,1,25,3,284,101,4,97,0,t1422
mazowieckie,przysuski,-,-,3,-,-,0.73,0,0,0,8,5,107,63,4,58,1,t1423
mazowieckie,pułtuski,-,-,18,-,-,3.47,0,0,0,14,17,214,140,18,118,4,t1424
mazowieckie,radomski,-,-,17,-,-,1.12,3,3,0,43,34,473,190,18,165,7,t1425
mazowieckie,siedlecki,-,-,7,-,-,0.86,0,0,0,10,13,289,81,8,73,0,t1426
mazowieckie,sierpecki,-,-,10,-,-,1.93,0,0,0,16,9,212,133,12,118,3,t1427
mazowieckie,sochaczewski,-,-,12,-,-,1.41,0,0,0,24,24,697,138,15,122,1,t1428
mazowieckie,sokołowski,-,-,3,-,-,0.56,0,0,0,9,16,165,130,3,116,11,t1429
mazowieckie,szydłowiecki,-,-,1,-,-,0.25,1,1,0,5,1,65,58,1,57,0,t1430
mazowieckie,warszawski zachodni,-,-,23,-,-,1.92,6,4,2,51,34,1066,264,24,233,7,t1432
mazowieckie,węgrowski,-,-,5,-,-,0.76,0,0,0,13,8,207,102,6,93,3,t1433
mazowieckie,wołomiński,-,-,35,-,-,1.39,1,1,0,112,153,1763,586,39,536,11,t1434
mazowieckie,wyszkowski,-,-,8,-,-,1.08,4,0,4,17,19,220,141,8,127,6,t1435
mazowieckie,zwoleński,-,-,2,-,-,0.56,1,0,1,2,0,100,97,2,95,0,t1436
mazowieckie,żuromiński,-,-,3,-,-,0.78,0,0,0,3,6,107,64,3,61,0,t1437
mazowieckie,żyrardowski,-,-,19,-,-,2.51,0,0,0,36,24,539,199,26,170,3,t1438
mazowieckie,Ostrołęka,-,-,10,-,-,1.93,0,0,0,18,11,211,121,17,98,6,t1461
mazowieckie,Płock,-,-,19,-,-,1.6,0,0,0,30,63,472,247,22,218,7,t1462
mazowieckie,Radom,-,-,19,-,-,0.9,8,8,0,51,41,709,441,24,404,13,t1463
mazowieckie,Siedlce,-,-,10,-,-,1.28,0,0,0,16,13,292,106,13,93,0,t1464
mazowieckie,Warszawa,-,-,382,-,-,2.13,15,0,15,726,672,14370,3482,421,2975,86,t1465
opolskie,brzeski,-,-,24,-,-,2.68,0,0,0,30,18,476,95,28,67,0,t1601
opolskie,głubczycki,-,-,12,-,-,2.65,0,0,0,19,25,191,103,13,86,4,t1602
opolskie,kędzierzyńsko-kozielski,-,-,13,-,-,1.39,1,0,1,20,20,400,113,15,98,0,t1603
opolskie,kluczborski,-,-,9,-,-,1.38,0,0,0,8,8,209,70,9,60,1,t1604
opolskie,krapkowicki,-,-,16,-,-,2.52,0,0,0,10,3,273,206,17,184,5,t1605
opolskie,namysłowski,-,-,6,-,-,1.41,0,0,0,2,2,164,33,6,27,0,t1606
opolskie,nyski,-,-,24,-,-,1.77,2,0,2,34,32,417,414,28,372,14,t1607
opolskie,oleski,-,-,6,-,-,0.94,0,0,0,14,6,172,47,8,39,0,t1608
opolskie,opolski,-,-,24,-,-,1.94,0,0,0,18,20,549,236,26,206,4,t1609
opolskie,prudnicki,-,-,39,-,-,7.08,0,0,0,6,10,140,222,43,174,5,t1610
opolskie,strzelecki,-,-,7,-,-,0.94,1,0,1,18,18,254,62,10,52,0,t1611
opolskie,Opole,-,-,33,-,-,2.58,2,0,2,34,42,1100,257,39,212,6,t1661
podkarpackie,bieszczadzki,-,-,2,-,-,0.93,0,0,0,2,1,63,23,2,20,1,t1801
podkarpackie,brzozowski,-,-,5,-,-,0.76,0,0,0,4,8,122,103,5,98,0,t1802
podkarpackie,dębicki,-,-,9,-,-,0.67,1,0,1,8,13,179,144,9,132,3,t1803
podkarpackie,jarosławski,-,-,10,-,-,0.83,0,0,0,18,28,365,165,14,148,3,t1804
podkarpackie,jasielski,-,-,7,-,-,0.62,0,0,0,3,7,164,93,7,84,2,t1805
podkarpackie,kolbuszowski,-,-,4,-,-,0.64,0,0,0,7,3,78,83,5,78,0,t1806
podkarpackie,krośnieński,-,-,4,-,-,0.36,0,0,0,12,8,105,153,4,148,1,t1807
podkarpackie,leżajski,-,-,14,-,-,2.02,0,0,0,6,12,188,114,15,95,4,t1808
podkarpackie,lubaczowski,-,-,12,-,-,2.18,0,0,0,17,24,309,92,15,77,0,t1809
podkarpackie,łańcucki,-,-,19,-,-,2.34,1,0,1,13,18,254,142,19,119,4,t1810
podkarpackie,mielecki,-,-,14,-,-,1.02,3,0,3,12,15,328,224,16,208,0,t1811
podkarpackie,niżański,-,-,7,-,-,1.05,0,0,0,14,6,180,100,7,92,1,t1812
podkarpackie,przemyski,-,-,16,-,-,2.16,1,0,1,9,6,233,141,16,123,2,t1813
podkarpackie,przeworski,-,-,13,-,-,1.66,0,0,0,5,3,118,124,14,107,3,t1814
podkarpackie,ropczycko-sędziszowski,-,-,4,-,-,0.54,1,1,0,11,7,113,109,6,103,0,t1815
podkarpackie,rzeszowski,-,-,26,-,-,1.53,2,0,2,23,33,508,491,28,460,3,t1816
podkarpackie,sanocki,-,-,11,-,-,1.17,1,0,1,12,0,140,116,11,105,0,t1817
podkarpackie,stalowowolski,-,-,7,-,-,0.66,2,0,2,18,10,340,141,8,132,1,t1818
podkarpackie,strzyżowski,-,-,4,-,-,0.65,0,0,0,10,1,112,42,4,38,0,t1819
podkarpackie,tarnobrzeski,-,-,3,-,-,0.57,0,0,0,13,18,176,108,16,92,0,t1820
