wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,-,-,910,-,-,0.24,3,0,3,708,0,0,1907,934,967,6,t0000,2024-08-14
dolnośląskie,bolesławiecki,-,-,3,-,-,0.33,0,0,0,0,0,0,11,3,8,0,t0201,2024-08-14
dolnośląskie,dzierżoniowski,-,-,1,-,-,0.1,0,0,0,0,0,0,2,1,1,0,t0202,2024-08-14
dolnośląskie,głogowski,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t0203,2024-08-14
dolnośląskie,górowski,-,-,1,-,-,0.29,0,0,0,1,0,0,1,1,0,0,t0204,2024-08-14
dolnośląskie,jaworski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0205,2024-08-14
dolnośląskie,jeleniogórski,-,-,1,-,-,0.16,0,0,0,1,0,0,2,1,1,0,t0206,2024-08-14
dolnośląskie,kamiennogórski,-,-,2,-,-,0.46,0,0,0,3,0,0,4,2,2,0,t0207,2024-08-14
dolnośląskie,kłodzki,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0208,2024-08-14
dolnośląskie,legnicki,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0209,2024-08-14
dolnośląskie,lubański,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0210,2024-08-14
dolnośląskie,lubiński,-,-,8,-,-,0.75,0,0,0,3,0,0,8,8,0,0,t0211,2024-08-14
dolnośląskie,lwówecki,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t0212,2024-08-14
dolnośląskie,milicki,-,-,0,-,-,0.0,0,0,0,1,0,0,1,0,1,0,t0213,2024-08-14
dolnośląskie,oleśnicki,-,-,1,-,-,0.09,0,0,0,1,0,0,1,1,0,0,t0214,2024-08-14
dolnośląskie,oławski,-,-,1,-,-,0.13,0,0,0,1,0,0,1,1,0,0,t0215,2024-08-14
dolnośląskie,polkowicki,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0216,2024-08-14
dolnośląskie,strzeliński,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0217,2024-08-14
dolnośląskie,średzki,-,-,1,-,-,0.18,0,0,0,1,0,0,1,1,0,0,t0218,2024-08-14
dolnośląskie,świdnicki,-,-,1,-,-,0.06,0,0,0,0,0,0,2,1,1,0,t0219,2024-08-14
dolnośląskie,trzebnicki,-,-,1,-,-,0.12,0,0,0,0,0,0,1,1,0,0,t0220,2024-08-14
dolnośląskie,wałbrzyski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0221,2024-08-14
dolnośląskie,wołowski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0222,2024-08-14
dolnośląskie,wrocławski,-,-,3,-,-,0.19,0,0,0,0,0,0,6,3,3,0,t0223,2024-08-14
dolnośląskie,ząbkowicki,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0224,2024-08-14
dolnośląskie,zgorzelecki,-,-,2,-,-,0.23,0,0,0,1,0,0,2,2,0,0,t0225,2024-08-14
dolnośląskie,złotoryjski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0226,2024-08-14
dolnośląskie,Jelenia Góra,-,-,0,-,-,0.0,0,0,0,2,0,0,3,0,3,0,t0261,2024-08-14
dolnośląskie,Legnica,-,-,2,-,-,0.2,0,0,0,1,0,0,3,2,1,0,t0262,2024-08-14
dolnośląskie,Wrocław,-,-,15,-,-,0.23,0,0,0,12,0,0,26,15,11,0,t0264,2024-08-14
dolnośląskie,Wałbrzych,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0265,2024-08-14
kujawsko-pomorskie,aleksandrowski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0401,2024-08-14
kujawsko-pomorskie,brodnicki,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0402,2024-08-14
kujawsko-pomorskie,bydgoski,-,-,1,-,-,0.08,0,0,0,1,0,0,2,1,1,0,t0403,2024-08-14
kujawsko-pomorskie,chełmiński,-,-,2,-,-,0.39,0,0,0,7,0,0,7,2,5,0,t0404,2024-08-14
kujawsko-pomorskie,golubsko-dobrzyński,-,-,5,-,-,1.11,0,0,0,6,0,0,8,5,3,0,t0405,2024-08-14
kujawsko-pomorskie,grudziądzki,-,-,5,-,-,1.24,0,0,0,0,0,0,5,5,0,0,t0406,2024-08-14
