wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,-,-,200,-,-,0.05,0,0,0,2389,113,70771,46681,242,46362,77,t0000,2021-08-09
dolnośląskie,bolesławiecki,-,-,0,-,-,0.0,0,0,0,6,0,176,200,1,199,0,t0201,2021-08-09
dolnośląskie,dzierżoniowski,-,-,0,-,-,0.0,0,0,0,5,0,104,129,0,129,0,t0202,2021-08-09
dolnośląskie,głogowski,-,-,0,-,-,0.0,0,0,0,2,0,115,79,0,79,0,t0203,2021-08-09
dolnośląskie,górowski,-,-,0,-,-,0.0,0,0,0,0,0,91,26,0,26,0,t0204,2021-08-09
dolnośląskie,jaworski,-,-,0,-,-,0.0,0,0,0,1,0,50,57,0,57,0,t0205,2021-08-09
dolnośląskie,jeleniogórski,-,-,0,-,-,0.0,0,0,0,5,0,108,51,0,51,0,t0206,2021-08-09
dolnośląskie,kamiennogórski,-,-,0,-,-,0.0,0,0,0,2,0,65,43,0,43,0,t0207,2021-08-09
dolnośląskie,kłodzki,-,-,0,-,-,0.0,0,0,0,5,0,138,124,0,124,0,t0208,2021-08-09
dolnośląskie,legnicki,-,-,0,-,-,0.0,0,0,0,1,0,89,50,0,50,0,t0209,2021-08-09
dolnośląskie,lubański,-,-,0,-,-,0.0,0,0,0,1,0,43,37,0,37,0,t0210,2021-08-09
dolnośląskie,lubiński,-,-,0,-,-,0.0,0,0,0,4,1,81,118,0,118,0,t0211,2021-08-09
dolnośląskie,lwówecki,-,-,0,-,-,0.0,0,0,0,12,0,53,72,0,72,0,t0212,2021-08-09
dolnośląskie,milicki,-,-,1,-,-,0.27,0,0,0,1,0,39,31,1,30,0,t0213,2021-08-09
dolnośląskie,oleśnicki,-,-,0,-,-,0.0,0,0,0,2,0,193,61,0,61,0,t0214,2021-08-09
dolnośląskie,oławski,-,-,0,-,-,0.0,0,0,0,1,0,277,89,0,89,0,t0215,2021-08-09
dolnośląskie,polkowicki,-,-,0,-,-,0.0,0,0,0,2,0,55,69,1,68,0,t0216,2021-08-09
dolnośląskie,strzeliński,-,-,0,-,-,0.0,0,0,0,5,0,46,35,0,35,0,t0217,2021-08-09
dolnośląskie,średzki,-,-,0,-,-,0.0,0,0,0,10,1,112,53,0,53,0,t0218,2021-08-09
dolnośląskie,świdnicki,-,-,0,-,-,0.0,0,0,0,3,1,423,164,0,164,0,t0219,2021-08-09
dolnośląskie,trzebnicki,-,-,0,-,-,0.0,0,0,0,6,0,215,66,0,66,0,t0220,2021-08-09
dolnośląskie,wałbrzyski,-,-,0,-,-,0.0,0,0,0,0,0,28,74,0,74,0,t0221,2021-08-09
dolnośląskie,wołowski,-,-,0,-,-,0.0,0,0,0,2,0,66,26,0,26,0,t0222,2021-08-09
dolnośląskie,wrocławski,-,-,1,-,-,0.06,0,0,0,22,0,527,159,1,157,1,t0223,2021-08-09
dolnośląskie,ząbkowicki,-,-,0,-,-,0.0,0,0,0,3,0,72,79,0,79,0,t0224,2021-08-09
dolnośląskie,zgorzelecki,-,-,1,-,-,0.11,0,0,0,7,0,112,67,1,66,0,t0225,2021-08-09
dolnośląskie,złotoryjski,-,-,0,-,-,0.0,0,0,0,0,0,37,16,0,16,0,t0226,2021-08-09
