wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,Cały kraj,-,-,3271,-,-,0.85,52,11,41,217,10769,173976,25174,3676,21019,479,t0000
dolnośląskie,bolesławiecki,-,-,2,-,-,0.22,0,0,0,0,31,401,34,2,32,0,t0201
dolnośląskie,dzierżoniowski,-,-,6,-,-,0.6,0,0,0,0,11,165,31,6,24,1,t0202
dolnośląskie,głogowski,-,-,4,-,-,0.45,0,0,0,0,25,276,33,5,27,1,t0203
dolnośląskie,górowski,-,-,1,-,-,0.29,0,0,0,0,3,101,22,1,21,0,t0204
dolnośląskie,jaworski,-,-,2,-,-,0.4,0,0,0,2,9,131,11,3,8,0,t0205
dolnośląskie,jeleniogórski,-,-,17,-,-,2.68,0,0,0,0,16,215,179,18,157,4,t0206
dolnośląskie,kamiennogórski,-,-,1,-,-,0.23,0,0,0,0,6,69,14,1,11,2,t0207
dolnośląskie,kłodzki,-,-,10,-,-,0.64,0,0,0,0,14,397,64,11,53,0,t0208
dolnośląskie,legnicki,-,-,1,-,-,0.18,0,0,0,0,5,168,29,1,27,1,t0209
dolnośląskie,lubański,-,-,0,-,-,0.0,0,0,0,0,14,245,15,0,15,0,t0210
dolnośląskie,lubiński,-,-,1,-,-,0.09,0,0,0,3,25,187,24,1,23,0,t0211
dolnośląskie,lwówecki,-,-,0,-,-,0.0,0,0,0,0,3,106,12,0,12,0,t0212
dolnośląskie,milicki,-,-,4,-,-,1.08,0,0,0,0,1,165,15,4,11,0,t0213
dolnośląskie,oleśnicki,-,-,14,-,-,1.3,0,0,0,0,18,313,49,16,31,2,t0214
dolnośląskie,oławski,-,-,3,-,-,0.39,0,0,0,0,12,360,47,4,43,0,t0215
dolnośląskie,polkowicki,-,-,0,-,-,0.0,0,0,0,0,12,205,20,1,19,0,t0216
dolnośląskie,strzeliński,-,-,2,-,-,0.46,0,0,0,0,25,141,21,3,16,2,t0217
dolnośląskie,średzki,-,-,1,-,-,0.18,0,0,0,0,17,179,18,1,17,0,t0218
dolnośląskie,świdnicki,-,-,5,-,-,0.32,0,0,0,0,26,661,49,5,42,2,t0219
dolnośląskie,trzebnicki,-,-,2,-,-,0.23,0,0,0,1,12,358,29,4,25,0,t0220
dolnośląskie,wałbrzyski,-,-,2,-,-,0.36,0,0,0,0,5,132,55,3,51,1,t0221
dolnośląskie,wołowski,-,-,2,-,-,0.43,0,0,0,0,6,223,29,2,27,0,t0222
dolnośląskie,wrocławski,-,-,17,-,-,1.1,0,0,0,1,42,1054,81,18,62,1,t0223
dolnośląskie,ząbkowicki,-,-,5,-,-,0.78,0,0,0,0,13,294,58,6,50,2,t0224
dolnośląskie,zgorzelecki,-,-,1,-,-,0.11,0,0,0,0,18,351,15,1,13,1,t0225
dolnośląskie,złotoryjski,-,-,4,-,-,0.92,0,0,0,0,8,137,17,4,12,1,t0226
dolnośląskie,Jelenia Góra,-,-,11,-,-,1.4,0,0,0,0,2,255,162,11,150,1,t0261
dolnośląskie,Legnica,-,-,7,-,-,0.71,0,0,0,1,7,515,39,7,30,2,t0262
dolnośląskie,Wrocław,-,-,27,-,-,0.42,0,0,0,12,168,3539,360,30,325,5,t0264
dolnośląskie,Wałbrzych,-,-,4,-,-,0.36,0,0,0,1,16,266,59,5,53,1,t0265
kujawsko-pomorskie,aleksandrowski,-,-,3,-,-,0.55,0,0,0,0,15,187,17,3,13,1,t0401
kujawsko-pomorskie,brodnicki,-,-,9,-,-,1.14,0,0,0,0,29,385,49,10,39,0,t0402
kujawsko-pomorskie,bydgoski,-,-,14,-,-,1.17,0,0,0,9,87,1123,76,17,53,6,t0403
kujawsko-pomorskie,chełmiński,-,-,3,-,-,0.58,0,0,0,1,37,554,29,3,26,0,t0404
kujawsko-pomorskie,golubsko-dobrzyński,-,-,1,-,-,0.22,0,0,0,0,17,227,17,2,15,0,t0405
kujawsko-pomorskie,grudziądzki,-,-,5,-,-,1.24,0,0,0,0,20,354,20,6,14,0,t0406
kujawsko-pomorskie,inowrocławski,-,-,7,-,-,0.44,1,0,1,0,49,826,60,8,51,1,t0407
kujawsko-pomorskie,lipnowski,-,-,5,-,-,0.76,0,0,0,0,9,250,44,5,38,1,t0408
kujawsko-pomorskie,mogileński,-,-,1,-,-,0.22,0,0,0,0,16,224,13,1,12,0,t0409
kujawsko-pomorskie,nakielski,-,-,7,-,-,0.81,0,0,0,0,24,686,46,10,36,0,t0410
