wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,-,-,1012,-,-,0.26,4,2,2,939,0,0,2536,1051,1485,0,t0000,2023-11-10
dolnośląskie,bolesławiecki,-,-,2,-,-,0.22,0,0,0,0,0,0,4,2,2,0,t0201,2023-11-10
dolnośląskie,dzierżoniowski,-,-,4,-,-,0.4,0,0,0,2,0,0,6,4,2,0,t0202,2023-11-10
dolnośląskie,głogowski,-,-,6,-,-,0.68,0,0,0,0,0,0,13,6,7,0,t0203,2023-11-10
dolnośląskie,górowski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0204,2023-11-10
dolnośląskie,jaworski,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t0205,2023-11-10
dolnośląskie,jeleniogórski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0206,2023-11-10
dolnośląskie,kamiennogórski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0207,2023-11-10
dolnośląskie,kłodzki,-,-,4,-,-,0.25,0,0,0,0,0,0,4,4,0,0,t0208,2023-11-10
dolnośląskie,legnicki,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0209,2023-11-10
dolnośląskie,lubański,-,-,1,-,-,0.18,0,0,0,1,0,0,3,2,1,0,t0210,2023-11-10
dolnośląskie,lubiński,-,-,0,-,-,0.0,0,0,0,1,0,0,1,0,1,0,t0211,2023-11-10
dolnośląskie,lwówecki,-,-,2,-,-,0.44,0,0,0,2,0,0,2,2,0,0,t0212,2023-11-10
dolnośląskie,milicki,-,-,4,-,-,1.08,0,0,0,0,0,0,4,4,0,0,t0213,2023-11-10
dolnośląskie,oleśnicki,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0214,2023-11-10
